date,close,volume,open,high,low
11/23/2018,105.74,938815,105.88,106.45,105.31
11/21/2018,106.5,2790977,106.37,107.67,106.13
11/20/2018,106.09,3778956,107.55,107.9,105.46
11/19/2018,108.25,3158806,109.9,110.015,107.42
11/16/2018,109.46,3486223,108.58,110.38,108.58
11/15/2018,109.6,3742564,106.68,109.695,106.34
11/14/2018,107.77,4971566,108.61,109.33,106.89
11/13/2018,107.86,3021772,106.65,108.2,106.47
11/12/2018,106.49,3154576,108.16,108.44,106.3
11/9/2018,108.28,4443980,108.38,109.33,107.35
11/8/2018,108.5,2896743,107.03,108.63,107.03
11/7/2018,107.31,3606883,105.73,107.4799,104.895
11/6/2018,104.98,2855998,104.98,105.66,104.37
11/5/2018,105.21,2697676,104.04,105.4,103.8
11/2/2018,103.71,4322223,104.93,105.05,102.8862
11/1/2018,104.04,2785884,103.26,104.27,103.02
10/31/2018,102.73,4509893,103.06,103.705,102.55
10/30/2018,102.08,3778177,101.6,102.39,100.41
10/29/2018,101.19,4238251,102.47,103.25,100.04
10/26/2018,101.25,5390599,102.54,102.66,100.14
10/25/2018,103.6,3378640,102.48,104.17,101.8
10/24/2018,101.84,4056703,104.43,104.95,101.51
10/23/2018,104.38,4223633,102.41,104.5195,101.84
10/22/2018,104.51,5003055,106.61,106.96,104.45
10/19/2018,106.73,5726301,104.06,107.55,104.06
10/18/2018,102.84,4509699,104.53,104.759,102.29
10/17/2018,104.34,3789195,104.33,105.29,103.92
10/16/2018,104.27,3120496,103.07,104.47,102.69
10/15/2018,102.62,2780949,102.85,103.5599,102.21
10/12/2018,103,4852792,104.31,104.92,101.71
10/11/2018,101.58,6067772,103.22,104.34,101.55
10/10/2018,103.57,4535246,106.96,107.01,103.5226
10/9/2018,106.66,2604183,106.3,106.93,105.935
10/8/2018,106.99,2716065,106.63,107.23,105.57
10/5/2018,107.23,2399808,108.06,108.47,106.72
10/4/2018,107.74,2478723,108.25,108.85,106.81
10/3/2018,108.45,2505064,109.25,109.4,108.25
10/2/2018,108.39,2223078,108.01,108.47,107.31
10/1/2018,107.9,3361319,107.81,108.99,107.61
9/28/2018,106.49,3931470,107.27,107.87,106.28
9/27/2018,107.85,2121705,108.01,108.35,107.34
9/26/2018,108.01,2943601,110.08,110.11,107.8
9/25/2018,109.87,1910563,110.24,110.24,109.38
9/24/2018,109.85,1871568,110.74,110.835,109.35
9/21/2018,110.9,5657531,111.29,111.51,110.76
9/20/2018,111.11,2844755,110.85,111.77,110.65
9/19/2018,110.1,2365735,110,110.46,109.73
9/18/2018,109.64,2173159,109.44,109.87,108.965
9/17/2018,109.2,2383108,110.21,110.24,108.941
9/14/2018,109.56,2977624,108.84,110.01,108.84
9/13/2018,108.66,3417624,108.2,109.19,107.93
9/12/2018,107.88,4100593,108.31,108.685,107.66
9/11/2018,108.31,2795761,106.71,108.465,106.47
9/10/2018,107.29,3310255,106.56,107.8,106.56
9/7/2018,106.08,2498391,105.64,106.345,105.35
9/6/2018,105.4,3623884,105.5,105.87,104.55
9/5/2018,105.68,5511779,107,107.25,104.88
9/4/2018,107.01,2941829,106.35,107.27,105.58
8/31/2018,105.98,2115465,105.52,106.4,105.3
8/30/2018,106.23,1868325,106.6,106.67,105.97
8/29/2018,106.71,1896159,107.04,107.31,105.885
8/28/2018,107.28,2275033,107.06,107.43,106.6784
8/27/2018,107.05,1945203,106.79,107.33,106.28
8/24/2018,105.76,1843975,105.91,106.34,105.45
8/23/2018,105.37,1866769,105.54,106.0165,105.16
8/22/2018,105.83,2761301,104.9,106.26,104.51
8/21/2018,104.81,3213792,103.92,105.25,103.76
8/20/2018,103.83,2264121,103.02,103.965,102.931
8/17/2018,103.03,1950759,102.63,103.31,102.06
8/16/2018,102.65,2290356,101.9,103.14,101.865
8/15/2018,101.51,2219592,101.57,101.93,100.84
8/14/2018,102.18,2327069,101.93,102.6,101.83
8/13/2018,101.81,3389232,101.48,102.3,101.4
8/10/2018,101.58,2473161,102.09,102.2,101.17
8/9/2018,102.99,2434972,102.44,103.32,102.28
8/8/2018,102.78,2228875,102,102.95,101.81
8/7/2018,101.97,1852802,101.49,102.75,101.37
8/6/2018,100.92,2004583,100.77,101.32,100.4
8/3/2018,100.79,1830396,99.96,100.9,99.7
8/2/2018,99.73,2481594,98.9,99.925,98.67
8/1/2018,99.45,3315376,99.9,100.93,99.17
7/31/2018,99.52,4329852,101.05,101.2,99.44
7/30/2018,100.85,4420103,102.73,103.11,100.35
7/27/2018,103.85,3807242,102.87,104.24,102.67
7/26/2018,102.5,2743986,102.84,103.15,102.355
7/25/2018,102.63,2548576,101.23,102.78,101.08
7/24/2018,101.71,3152969,101.46,102.09,101.17
7/23/2018,101.22,2616686,100.15,101.4008,100.01
7/20/2018,100.15,3324791,100.13,101.3,99.98
7/19/2018,100.17,7168008,100.2,101.37,99.28
7/18/2018,102.98,5893410,101.55,103.07,101.42
7/17/2018,101.15,3090268,100.78,101.46,100.65
