date,close,volume,open,high,low
11/23/2018,122.32,3130084,121.96,124.05,121.57
11/21/2018,123.87,4759377,122.82,126.216,122.51
11/20/2018,122.27,7743905,123.85,123.97,121.23
11/19/2018,125.98,5373322,129.15,129.49,125.6
11/16/2018,129.96,5955796,128.79,131.92,128.05
11/15/2018,129.42,5813648,124.32,130.282,123.13
11/14/2018,125.1,5508378,127.27,129,123.73
11/13/2018,125.96,5816530,125.5,129.79,125.2824
11/12/2018,125,5867775,127.18,128.41,124.59
11/9/2018,126.91,7242276,129.59,129.6,125.73
11/8/2018,131.39,6266529,133.83,134.7,130.9
11/7/2018,135.1,7549110,133.52,135.22,130.8836
11/6/2018,129.33,4726849,126.4,129.5,126.31
11/5/2018,126.41,4843352,126.09,126.95,124.55
11/2/2018,125.79,7617757,127.05,128.3005,124.26
11/1/2018,124.7,10131580,122.59,125.23,120.94
10/31/2018,121.32,10339020,119.41,122.885,119.26
10/30/2018,117.46,8055832,114,117.74,113.1
10/29/2018,113.98,8065786,116.88,118.35,112.06
10/26/2018,115.05,10813960,114.1,116.43,112.3648
10/25/2018,115.63,13544440,114.83,117.09,112.5
10/24/2018,112.34,15284810,120,121.64,112.25
10/23/2018,118.98,24096880,119.68,122.5,115.6201
10/22/2018,128.71,7849410,132.68,133.13,128.66
10/19/2018,131.32,7031994,136.19,136.93,131.27
10/18/2018,135.8,10247860,140.16,140.8,134.47
10/17/2018,141.34,4805402,143.08,143.52,141.11
10/16/2018,143.71,3566268,143.35,143.89,141.27
10/15/2018,141.8,3741486,142,143.18,141.12
10/12/2018,142.07,5580081,144.02,144.4,139.75
10/11/2018,140.97,7599481,142.95,145.89,139.84
10/10/2018,143.72,9382588,148.7,149.17,143.72
10/9/2018,149.46,4993958,152.61,152.61,149.08
10/8/2018,153.35,3457705,151.95,153.66,150.88
10/5/2018,153.31,4955017,156.51,156.81,151.61
10/4/2018,156.75,4130337,158.03,158.55,155.2
10/3/2018,158.22,6023189,156,159.37,155.79
10/2/2018,154.82,4341923,152.29,155.38,151.5
10/1/2018,152.28,3683356,153.61,154.5,151.68
9/28/2018,152.49,3599798,152,152.91,150.56
9/27/2018,152.47,2673678,153.02,154.05,151.2
9/26/2018,153.17,2955100,153.95,155.1479,152.89
9/25/2018,154.09,3302025,154.12,154.5,152.81
9/24/2018,154,3844517,156,156.1,153.77
9/21/2018,156.38,5866687,156.63,157.29,154.8
9/20/2018,156,6754120,155.406,157.72,154.46
9/19/2018,152.76,5998886,149.76,153.11,149.37
9/18/2018,149.07,4494759,147,149.28,146.27
9/17/2018,146.22,3823842,144.85,148.06,144.55
9/14/2018,144.9,4681217,145.63,147.2,143.225
