date,close,volume,open,high,low
11/23/2018,44.54,9372865,44.45,45.12,44.39
11/21/2018,44.89,19909630,44.95,45.18,44.395
11/20/2018,44.49,28422090,44.92,45.285,44.14
11/19/2018,45.75,27896070,46.35,46.58,45.25
11/16/2018,46.35,31050880,46.46,47.04,46.13
11/15/2018,46.77,45946200,46.8,47.1,45.1515
11/14/2018,44.33,36260390,45.46,45.64,44.08
11/13/2018,45.12,26179830,45.7,46.055,45.0268
11/12/2018,45.62,25324240,47.14,47.25,45.54
11/9/2018,47.11,22005840,48.08,48.25,46.7
11/8/2018,48.44,20852120,47.87,48.44,47.87
11/7/2018,47.9,19979040,46.98,47.93,46.745
11/6/2018,46.5,15308950,46.04,46.62,46
11/5/2018,46.14,17363970,45.74,46.435,45.35
11/2/2018,45.48,25391890,45.72,46.09,44.98
11/1/2018,45.65,24608270,45.67,45.88,45.1
10/31/2018,45.75,25983360,45.05,46.3,44.89
10/30/2018,44.58,25827190,43.92,44.7,43.75
10/29/2018,43.84,27857070,44.89,45.05,42.94
10/26/2018,44.25,31786250,44.57,45.11,43.78
10/25/2018,45.47,26587750,44.62,45.81,44.205
10/24/2018,44.07,28839620,45.49,45.68,43.96
10/23/2018,45.42,21833600,45.15,45.77,44.44
10/22/2018,45.76,18945570,45.77,46.28,45.405
10/19/2018,45.34,21126480,45.4,46.2,45.13
10/18/2018,45.46,19033020,46.3,46.49,45.15
10/17/2018,45.94,17655080,45.89,46.23,45.22
10/16/2018,45.82,22034550,45.29,45.94,44.85
10/15/2018,44.67,26066840,45.52,45.72,44.67
10/12/2018,45.71,35317410,44.93,45.85,44.46
10/11/2018,44.12,36334240,45.46,45.6,43.92
10/10/2018,45.63,32456530,47.44,47.51,45.54
10/9/2018,47.49,17003210,47.53,48.03,47.28
10/8/2018,47.52,23502480,47.92,48.5,47.1504
10/5/2018,48.13,19096070,48.4,48.85,47.61
10/4/2018,48.38,22106130,48.63,48.77,48.04
10/3/2018,49.14,16731080,49.26,49.47,49.07
10/2/2018,49.01,15670890,48.75,49.14,48.67
10/1/2018,48.87,13616830,49,49.14,48.665
9/28/2018,48.65,15474140,48.27,48.8,48.06
9/27/2018,48.33,15894330,48.33,48.76,48.21
9/26/2018,48.41,20057700,48.74,49.06,48.27
9/25/2018,48.47,15106490,48.57,48.88,48.43
9/24/2018,48.44,20067430,48.21,48.62,48.19
9/21/2018,48.56,59276640,47.93,48.639,47.82
9/20/2018,47.73,17006820,47.41,47.81,47.16
9/19/2018,47.28,12452030,47.42,47.62,47.12
9/18/2018,47.46,16308210,47.07,47.65,47.07
9/17/2018,47.11,13938530,47.23,47.58,47.07
9/14/2018,47.4,13726310,47.27,47.49,47.1
9/13/2018,47.24,17717260,46.84,47.4,46.8
9/12/2018,46.89,16573920,46.86,47.01,46.44
9/11/2018,47.03,16954200,46.91,47.17,46.435
9/10/2018,47.07,16049010,47.3,47.46,46.775
9/7/2018,47.05,16099670,47.01,47.49,46.88
9/6/2018,47.28,16428110,47.44,47.9,47.07
9/5/2018,47.27,20773780,47.56,47.65,46.755
