date,close,volume,open,high,low
11/23/2018,113.6,5577753,114.7,115.22,112.11
11/21/2018,117.57,5618213,116.68,119.19,116.68
11/20/2018,116.1,7982544,119.24,119.5,115.035
11/19/2018,119.42,5306416,118.14,119.48,117.9
11/16/2018,119.06,6628212,117.5,119.27,117.27
11/15/2018,116.95,7218113,113.66,117.08,112.72
11/14/2018,115.72,6775918,116.88,117.79,114.94
11/13/2018,115.35,6824463,117.3,117.88,115.04
11/12/2018,117.39,10540220,120.9,121.37,117.17
11/9/2018,119.51,6563191,118.22,120.37,117.37
11/8/2018,119.36,9260078,120.65,121.87,118.96
11/7/2018,120.87,4848776,120,121.12,119.02
11/6/2018,118.9,5272611,118.76,119.43,117.85
11/5/2018,118.94,8012931,116.62,119.67,116.6
11/2/2018,114.73,9687521,114.85,117.11,113.12
11/1/2018,111.17,10413950,111.765,111.99,110.1
10/31/2018,111.65,7383328,111.71,112.5,111.05
10/30/2018,110.85,7506203,109.62,111.15,108.15
10/29/2018,108.93,8566382,112.04,112.07,107.54
10/26/2018,111.53,8026154,110.63,112.47,109.6591
10/25/2018,111.58,5704425,111.36,113.4,110.43
10/24/2018,110.21,7993225,113.72,114.175,110.07
10/23/2018,113.4,7836361,115.72,115.72,112.05
10/22/2018,117.21,5578168,118.1,118.49,116.48
10/19/2018,118.14,7781802,117.37,119.26,117.37
10/18/2018,117.47,7027253,117.42,118.14,116.05
10/17/2018,117.29,6269072,117.21,117.69,116.02
10/16/2018,117.51,4720335,117.09,117.68,116.34
10/15/2018,116.94,5529843,117.7,118.86,116.91
10/12/2018,117.77,7239909,119.53,119.68,116.18
10/11/2018,118.43,8534620,122.43,122.43,117.54
10/10/2018,122.6,6425709,127.23,127.6,122.46
10/9/2018,126.82,6797089,125.51,127.44,125.07
10/8/2018,124.84,5680992,124.05,125.46,123.83
10/5/2018,125.33,4311493,124.93,125.9,124.74
10/4/2018,124.95,4234429,124.79,125.59,124.19
10/3/2018,125.31,4479441,125.13,125.8435,124.78
10/2/2018,124.74,5144022,125.07,125.76,124.32
10/1/2018,124.39,5342202,123.11,124.88,123.11
9/28/2018,122.28,4407028,121.99,123.21,121.76
9/27/2018,122.47,4480796,122.16,123,121.71
9/26/2018,121.95,4192750,122.99,123.42,121.74
9/25/2018,123.37,4772238,123.5,124.24,122.94
9/24/2018,122.62,6534130,121.91,122.98,121.57
9/21/2018,121.13,13490690,119.91,121.255,119.41
9/20/2018,119.42,5804508,120.19,121.32,119.11
9/19/2018,119.51,4855304,118.33,120.04,118.12
9/18/2018,118.13,4858016,118.5,118.9,117.98
9/17/2018,117.51,4830391,117.61,118.68,117.275
9/14/2018,117.38,4867487,116.43,117.61,116.35
9/13/2018,116.3,6031560,116.01,116.52,115.08
9/12/2018,115.79,5060153,116.42,117.49,115.76
9/11/2018,115.02,5571773,114.34,115.74,113.76
9/10/2018,114.48,5753186,115.43,115.72,114.38
9/7/2018,114.6,6577462,114.52,115.35,113.39
9/6/2018,115.23,8184735,117.89,118.51,115.135
9/5/2018,118.92,4618617,118.06,118.94,117.26
9/4/2018,118.87,4531937,118.93,119.63,118.345
8/31/2018,118.46,5283902,119.4,119.4,118.09
8/30/2018,119.81,3294180,120.08,120.43,119.55
8/29/2018,120.22,4099562,120,120.83,119.88
8/28/2018,119.86,4685672,120.6,121.34,119.75
8/27/2018,120.35,3899405,119.36,120.48,119.17
8/24/2018,119.01,4376654,118.9,119.54,118.72
8/23/2018,118.1,3830987,118.39,118.82,117.7
8/22/2018,118.92,3636205,118.54,119.4569,118.42
8/21/2018,117.94,4812127,118.375,118.93,117.79
8/20/2018,117.75,5393835,118,118.32,117.33
8/17/2018,117.8,6109506,118.15,118.58,117.091
8/16/2018,117.66,5454124,117.7,118.31,117.18
8/15/2018,117.94,9474619,121.7,121.73,117.43
8/14/2018,122.58,3621275,122.92,123.65,122
8/13/2018,122.44,4360024,123.31,123.6765,122.2626
8/10/2018,123.34,6126472,122.17,123.52,121.5
8/9/2018,122.53,5217054,123.96,124.37,122.26
8/8/2018,123.88,5955168,124.52,124.79,123.315
8/7/2018,125.18,4541967,125.54,125.7,124.75
8/6/2018,124.3,4455635,124.42,124.94,123.542
8/3/2018,124.05,5299399,124.15,124.25,123.3315
8/2/2018,123.76,4637100,124.44,124.81,123.3
8/1/2018,125.39,4660934,125.31,125.92,124.745
7/31/2018,126.27,5893773,128,128.55,126.13
7/30/2018,127.83,5728455,126.76,128.41,126.22
7/27/2018,125.97,7580925,122.79,127.04,122.08
7/26/2018,123.95,5539359,124.7,125.38,123.8
7/25/2018,124.9,4278188,123.62,125.23,123.2725
7/24/2018,123.85,4423381,121.87,124.16,121.86
7/23/2018,121.33,5355372,122.35,123.07,121.16
7/20/2018,122.27,5394730,121.25,122.35,121.01
7/19/2018,121.67,4462296,121.1,122.14,121.01
7/18/2018,121.53,6012474,121.24,121.67,119.67
7/17/2018,121.91,4122598,122.36,122.9552,121.8
7/16/2018,122.98,4314790,123.01,123.88,121.88
7/13/2018,124.04,3352685,124.2,124.88,123.63
7/12/2018,124.26,3744324,124.44,124.95,123.59
7/11/2018,123.52,6372538,126.23,126.68,122.965
7/10/2018,127.59,5087827,127.33,128.51,126.75
7/9/2018,125.99,3928265,125,126.28,124.69
7/6/2018,124.14,4019858,123.52,124.515,123.1861
