date,close,volume,open,high,low
11/23/2018,112.08,3242322,112.24,112.79,111.74
11/21/2018,113.03,7242441,112.5,113.985,112.3
11/20/2018,111.87,11193550,113.52,114.588,111.52
11/19/2018,115.42,9712526,116,117.83,114.79
11/16/2018,116.19,7123863,116.53,117.344,115.99
11/15/2018,117.11,7087355,116.49,117.43,115.7
11/14/2018,117.12,7102031,117.44,118.22,116.44
11/13/2018,116.85,4645737,117.11,117.78,116.18
11/12/2018,116.7,9169862,118,118.46,116.6
11/9/2018,118,16875190,118.2,120.2,117.18
11/8/2018,116,11008440,117.45,117.83,115.21
11/7/2018,117.05,8239470,116.57,117.285,115.16
11/6/2018,116.71,5035633,115.74,116.84,115.45
11/5/2018,115.45,7920295,115.74,116.2241,115.12
11/2/2018,115.18,6365960,116.83,116.95,114.37
11/1/2018,116.1,6777469,115.2,116.28,114.9
10/31/2018,114.83,9189266,116.23,116.52,114.68
10/30/2018,114.76,7337523,113.39,114.89,112.41
10/29/2018,113.04,9229443,114.45,114.94,111.96
10/26/2018,113.19,7971695,112.84,114.14,112.101
10/25/2018,114.16,7404707,112.62,114.69,112.118
10/24/2018,111.61,11620120,117.06,117.06,111.25
10/23/2018,117.85,8605640,116.945,118.49,115.41
10/22/2018,118.27,8404366,119.05,119.69,117.72
10/19/2018,118.9,10427800,117.42,119.17,117.22
10/18/2018,116.18,6049496,116.75,117.13,115.58
10/17/2018,117.13,7118527,116.1,117.22,115.43
10/16/2018,116.19,7617817,114.34,116.37,113.84
10/15/2018,113.44,6599276,111.93,114.6176,111.89
10/12/2018,112.61,5946757,111.97,113.2744,111.23
10/11/2018,111.15,10032250,112.5,113.25,110.32
10/10/2018,112.86,8808268,116.84,117.23,112.73
10/9/2018,116.89,6760260,116.615,117.77,116.04
10/8/2018,116.02,5630076,114.83,116.155,114.12
10/5/2018,114.78,5835214,116,116.58,114.73
10/4/2018,116.13,6441379,117,117.17,115.12
10/3/2018,116.91,6106291,117.95,118.1,116.74
10/2/2018,117.66,6367492,115.55,117.7,115.3
10/1/2018,116.24,8628812,117.28,117.4,115.68
9/28/2018,116.94,7361065,115.65,117.46,115.35
9/27/2018,116.04,5193355,115.19,116.6,115.1
9/26/2018,115.21,11129410,114.01,116.32,114.01
9/25/2018,113.63,12118710,113.31,114.71,112.65
9/24/2018,112.77,9105845,112.27,113.14,111.7
9/21/2018,110.4,25571560,111.95,111.98,110.4
9/20/2018,111.62,7121048,110.58,111.9492,109.94
9/19/2018,109.79,5964582,109.63,110.1825,109.48
9/18/2018,109.53,4936921,108.89,109.75,108.23
9/17/2018,109.36,5592132,109.58,109.8783,108.6115
9/14/2018,109.26,5966640,110.92,111.25,108.88
9/13/2018,110.67,5094676,109.55,110.72,109.37
9/12/2018,109.46,5233859,109.25,110.2539,109.18
9/11/2018,109.6,5488384,110.5,110.605,109.51
9/10/2018,110.68,4636306,111.44,111.9075,110.37
9/7/2018,110.97,4754708,110.08,111.35,110.01
9/6/2018,110.26,5266386,110,110.41,109.36
9/5/2018,109.87,6388128,110.58,110.82,109.7
9/4/2018,110.85,6390091,111.8,112,110.65
8/31/2018,112.02,4636917,111.9,112.28,111.56
8/30/2018,111.92,3481633,112.07,112.415,111.59
8/29/2018,112.45,4000791,112.58,112.72,112.02
8/28/2018,112.58,3131570,112.57,112.7896,112.2
8/27/2018,112.33,4767379,112.49,112.89,112.07
8/24/2018,111.93,5048870,111.63,112.7,111.44
8/23/2018,112,4256888,111.94,112.14,111.5331
8/22/2018,111.94,3212261,112.44,112.745,111.94
8/21/2018,112.39,4726622,112.25,113,112
8/20/2018,111.99,5163778,112.93,113,111.91
8/17/2018,112.48,4763966,112.51,112.86,111.89
8/16/2018,112.48,5081565,113.3,113.33,112.395
8/15/2018,112.85,5182906,112.18,113.12,111.47
8/14/2018,112.75,4324373,112.38,113.185,111.945
8/13/2018,112.12,6080497,112.66,112.84,111.72
8/10/2018,112.68,5737656,113.58,113.8,112.4
8/9/2018,114.16,6982725,114.05,114.795,112.81
8/8/2018,113.98,11718450,115.9,116.41,113.9
8/7/2018,116.56,15356460,116.57,117.9,116.24
8/6/2018,115.94,12676090,114.66,116.84,114.16
8/3/2018,114.09,4731861,113.2,114.095,112.4
8/2/2018,112.75,4027304,112.5,113.32,111.68
8/1/2018,112.97,6465168,113.68,113.83,112.59
7/31/2018,113.56,8405379,112.55,114.05,112.36
7/30/2018,112.63,5193185,112.2,113.335,112.05
7/27/2018,112.62,5716918,114,114.05,111.92
7/26/2018,113.51,9465115,112.15,114.5617,111.68
7/25/2018,111.18,6755258,110.64,111.42,109.63
7/24/2018,110.7,5648544,111.84,111.89,110.54
7/23/2018,111.09,5442663,111.05,111.21,110.335
7/20/2018,111.48,11787600,112.15,112.2,110.83
7/19/2018,112.13,17792120,111.54,114.68,111.3
7/18/2018,110.69,6404069,110.31,111.06,109.65
7/17/2018,110.3,9072256,110.26,112.62,110.085
7/16/2018,110.2,8237098,109.82,110.45,108.77
7/13/2018,110,8188639,108,110.24,107.66
7/12/2018,108.25,5929772,108.05,109.2,107.82
7/11/2018,108.04,11748510,105.32,109.34,105.32
7/10/2018,106.03,4215252,106.25,106.57,104.83
7/9/2018,106.02,4723177,105.01,106.07,104.75
7/6/2018,104.78,4134347,104.5,105.04,104.04
7/5/2018,105.34,6176000,104.7,105.602,104.43
7/3/2018,104.04,2406267,105.88,105.95,103.5
7/2/2018,105.33,5487420,104.15,105.37,103.9
