date,close,volume,open,high,low
11/23/2018,168.85,2710983,169.39,170.33,168.47
11/21/2018,169.3,5751746,170,170.93,169.145
11/20/2018,169.05,8658985,169.25,172,167
11/19/2018,173.59,6072009,176.71,178.88,172.3
11/16/2018,177.02,6833875,173.99,177.605,173.51
11/15/2018,177.36,8657699,179.01,179.67,173.61
11/14/2018,179.9,7544502,182.61,182.9,179.15
11/13/2018,179,14266880,177.3,181.62,172.85
11/12/2018,179.43,7583608,185.23,186.95,179.02
11/9/2018,185.99,4760428,188.32,188.48,184.96
11/8/2018,188,4038373,187.13,188.69,185.72
11/7/2018,187.23,4673211,183.79,187.68,182.06
11/6/2018,182.01,3338832,181.93,182.65,180.05
11/5/2018,182.19,3844401,181.02,182.41,179.3
11/2/2018,179.93,4714994,182.47,183.01,177.39
11/1/2018,180.46,5181923,176.84,180.86,175.9
10/31/2018,175.88,6328791,177.98,178.85,175.59
10/30/2018,176.24,5633796,173.16,176.43,172.64
10/29/2018,173.2,5911333,173.74,175.99,170.95
10/26/2018,172.23,9466646,176.88,177.34,170.91
10/25/2018,179.07,5219353,177.52,180.5,176.8262
10/24/2018,176.97,6778345,178.58,182.3693,176.31
10/23/2018,178.53,6978237,175.77,179.49,175.44
10/22/2018,178.75,4801715,180.82,181.4,177.56
10/19/2018,179.85,6951669,180.34,180.99,178.57
10/18/2018,180.44,9184320,184.26,185.4,179.53
10/17/2018,185.17,8963665,189.64,190.67,183.98
10/16/2018,193.58,4038661,191.83,194.08,190.61
10/15/2018,191.17,3506669,192.36,193.29,190.7021
10/12/2018,192.47,5353959,192.75,193.59,190.16
10/11/2018,189.74,5827722,193.71,196.67,188.47
10/10/2018,193.7,6057291,199.11,199.24,193.35
10/9/2018,195.75,4465054,197.95,199.18,195.58
10/8/2018,198.41,3662701,196.24,198.66,195.06
10/5/2018,196.38,5015682,199.07,199.7,194.57
10/4/2018,198.85,5908539,203.65,203.76,198.27
10/3/2018,203.74,4113706,206.162,206.46,203.65
10/2/2018,204.75,4305045,207.49,208.04,204.67
10/1/2018,207.6,3665565,208.52,209.79,207.37
9/28/2018,207.15,3481008,206.44,208.85,206.35
9/27/2018,206.84,3217974,207.5,207.83,205.6713
9/26/2018,207.52,2849472,208.58,209.14,207.23
9/25/2018,207.46,4347875,208.84,209.3,206.8
9/24/2018,207.99,4620776,211.52,211.84,207.96
9/21/2018,212.39,9738588,211.3,212.66,210.51
9/20/2018,211.06,3955579,211.66,212.61,211.005
9/19/2018,211.68,2572720,212,212.67,210.66
9/18/2018,211.02,4337697,208.63,211.73,208.16
9/17/2018,208.4,3074051,209.08,210.035,208.26
9/14/2018,209.07,3584444,210.19,210.53,207.55
9/13/2018,209.45,4663121,211.44,211.44,208.7
9/12/2018,211.98,5665717,214.03,215.43,210.91
9/11/2018,213.85,5962720,213,214.66,211.5
9/10/2018,210.69,5581023,208.13,211.62,208.13
9/7/2018,206.23,3672128,205.45,207.2299,205.43
9/6/2018,205.89,3490345,204.59,207.09,203.8
9/5/2018,204.15,3666498,204.83,206.67,203.15
9/4/2018,205.08,4611685,200.69,205.92,200.5
8/31/2018,200.77,4023276,199.38,200.91,199.29
8/30/2018,199.26,2823872,201,201.44,199.1
8/29/2018,201.68,2488008,201.11,201.99,200.7125
8/28/2018,201.97,3516285,202.3,202.4196,200.63
8/27/2018,201.98,2521269,202.83,202.95,201.19
8/24/2018,201.3,3053497,200.35,202.5,200
8/23/2018,200.16,3594221,199.39,201.41,199.14
8/22/2018,198.97,4985937,200.8,203.55,198.6505
8/21/2018,200.23,4118826,198.83,200.74,198.41
8/20/2018,197.93,2885272,195.84,198.44,195.4
8/17/2018,195.56,3856087,195.6,195.98,194.82
8/16/2018,195.39,5689516,194.02,196.09,193.72
8/15/2018,193.99,6042632,191.75,194.18,191.09
8/14/2018,193.1,11481050,195.17,195.98,191.27
8/13/2018,194.14,5239667,196.3,197.59,194
8/10/2018,196.3,2864056,197.34,197.93,195.6438
8/9/2018,198.08,2453087,199,199.74,198.04
8/8/2018,198.02,2176111,197.44,198.91,197.3
8/7/2018,197.05,3028645,196.35,197.2,195.64
8/6/2018,195.69,2510966,195.62,196.06,195.11
8/3/2018,195.64,2309031,196.03,196.4,195.25
8/2/2018,195.66,3530472,195.1,195.8444,193.55
8/1/2018,196.3,3086798,196.86,197.74,195.6
7/31/2018,197.52,2793208,197.69,198.03,196.87
