date,close,volume,open,high,low
11/23/2018,142.23,3404882,141.85,142.73,141.6
11/21/2018,141.99,10275090,146.23,146.23,140.78
11/20/2018,146.45,8937629,147.5,148.75,146.35
11/19/2018,147.73,8709192,146.43,148.44,146.37
11/16/2018,145.99,7971861,144.71,146.74,144.55
11/15/2018,144.5,6657825,143.41,144.51,142.48
11/14/2018,144.25,6426460,145.02,145.31,143.56
11/13/2018,144.68,7318120,146.19,146.75,143.42
11/12/2018,145.62,7007089,144.99,146.24,144.73
11/9/2018,145.34,5343128,145.04,145.74,144.38
11/8/2018,145.3,5440152,144.31,145.7921,144
11/7/2018,144.75,6986137,143.1,144.8735,142.97
11/6/2018,142.57,5797605,141.53,142.83,141.06
11/5/2018,142.2,5581312,141,142.74,139
11/2/2018,140.68,7645374,141.97,142,139.66
11/1/2018,140.82,6572666,140.07,141.58,139.85
10/31/2018,139.99,9950798,141,141.43,139.61
10/30/2018,140.75,9625421,137.93,141.1,137
10/29/2018,137.55,6762493,136.99,139.1,136.22
10/26/2018,136.97,11365750,137.94,139.3,135.33
10/25/2018,138.47,9692758,137.46,139.09,135.05
10/24/2018,137.47,8136686,138.52,140.11,137.17
10/23/2018,138.93,8282673,137.79,139.49,137.45
10/22/2018,138.68,4637393,138.61,139.26,138.14
10/19/2018,139.05,5745483,138.34,140,137.91
10/18/2018,139.5,7296212,139.2,139.81,137.71
10/17/2018,139.46,8092183,136.23,140,136.21
10/16/2018,136.56,9327013,134.75,137.99,134.75
10/15/2018,133.95,6377165,133.88,135.3,133.51
10/12/2018,133.87,6853987,134.4,134.41,132.23
10/11/2018,133.84,11589230,137.91,138.66,132.88
10/10/2018,137.73,6702824,139.35,140.46,137.73
10/9/2018,139.2,4474698,138.74,139.62,137.81
10/8/2018,139.39,4458531,138.9,139.68,138.62
10/5/2018,139.1,4308720,139.8,140.25,138.56
10/4/2018,139.35,4626908,138.55,139.53,137.32
10/3/2018,139.03,5134538,140.54,141.27,138.88
10/2/2018,140.48,5920004,139.79,140.73,139.65
10/1/2018,139.69,4839384,138.26,139.85,138
9/28/2018,138.17,5801928,138.1,138.56,137.41
9/27/2018,138.22,6392637,138.45,139.5786,137.57
9/26/2018,138.16,6967068,138.95,140,137.96
9/25/2018,138.64,7716268,140.53,140.96,138.4
9/24/2018,140.47,6677846,142.1,142.5,140.23
9/21/2018,142.88,13099350,142.18,143.13,141.69
9/20/2018,141.98,4995902,140.82,142.14,140.51
9/19/2018,140.46,5049188,140.76,140.99,140.05
9/18/2018,140.54,4563751,140.27,140.84,139.83
9/17/2018,139.96,5144209,139.33,140.4,139.18
9/14/2018,139.49,4322968,140,140.35,139.1
9/13/2018,139.89,6111004,139.89,140.48,139.02
9/12/2018,139.36,6744443,138.9,139.99,138.56
9/11/2018,138.51,7834011,137.64,138.91,137.22
9/10/2018,137.21,4794313,137.53,138.4716,137.06
9/7/2018,137.32,6374329,136.78,137.69,135.745
9/6/2018,136.87,6556556,135.5,137.31,135.18
9/5/2018,135.86,6174811,133.48,135.94,133.46
9/4/2018,133.72,4406324,134.69,134.75,133.44
8/31/2018,134.69,6130260,134.6,135,133.97
8/30/2018,134.95,4821940,134.7,135.6,134.6
8/29/2018,134.86,4648614,134.32,134.944,133.94
8/28/2018,134.32,6037014,134.78,134.9,133.89
8/27/2018,134.92,4325876,135.5,136.05,134.21
8/24/2018,135.95,4809388,135.11,136.1464,134.83
8/23/2018,135.11,5055783,134.61,135.49,134.1
8/22/2018,134.61,4688412,135.56,135.68,134.42
8/21/2018,135.35,5826363,137,137.43,135.3
8/20/2018,136.88,7875831,134.93,137.12,134
8/17/2018,134.47,6698662,132.45,135,132.19
8/16/2018,132.48,7788872,131.02,132.88,130.57
8/15/2018,130.43,5346519,129.75,130.74,128.93
8/14/2018,129.5,4514231,129.67,130.47,129.35
8/13/2018,130.22,3760818,130.72,130.9,129.85
8/10/2018,130.75,4321842,131.19,131.63,130.26
8/9/2018,131.2,3849559,131.54,131.72,130.67
8/8/2018,131.17,3721547,131.49,131.8,130.89
8/7/2018,131.46,4626774,131.88,132.17,131.3
8/6/2018,132.02,5840034,131.64,132.53,131.01
8/3/2018,131.95,6498713,131.18,132.7,130.9
8/2/2018,131.25,6563338,132.89,133,131.09
8/1/2018,132.64,5770410,132.39,132.96,132.08
7/31/2018,132.52,7556829,132.28,132.64,131.77
7/30/2018,132.17,11012580,131.78,132.49,131.25
7/27/2018,131.55,6620170,129.98,132.27,129.94
7/26/2018,130.28,7638927,129.9,131.22,129.85
7/25/2018,128.62,6522827,129.14,129.23,127.65
7/24/2018,129.36,7158631,127.24,129.62,127.15
7/23/2018,126.63,4425883,125.75,126.68,125.45
7/20/2018,125.85,5835531,125.3,126.14,125.12
7/19/2018,125.94,5903095,127.53,127.7,125.87
7/18/2018,127.8,6991560,128.81,129.05,127.17
7/17/2018,129.11,12849710,128.53,130.54,127.5638
7/16/2018,124.69,7311339,126,126.1,124.16
7/13/2018,125.93,8236247,125.32,127.5,125.32
7/12/2018,127.76,6167397,127.71,128.21,127.17
7/11/2018,126.24,4815507,127.41,127.4401,126.06
7/10/2018,127.38,5069308,126.37,127.52,126.11
7/9/2018,126.05,6702093,126.22,126.75,125.6
7/6/2018,125.75,7297581,125.16,125.92,124.61
7/5/2018,125,7314204,123.6,125.12,123.23
7/3/2018,122.71,4248060,121.65,123.46,121.26
7/2/2018,121.58,5362766,121.34,121.73,120.11
6/29/2018,121.34,7308698,122.24,123.18,121.19
6/28/2018,122,5296030,121.78,122.41,121.07
6/27/2018,121.61,5665840,122.13,122.97,121.4527
6/26/2018,122.35,5492642,122.49,122.89,121.6
6/25/2018,122.59,8084394,122.82,123.43,121.51
6/22/2018,122.84,10231590,121.68,123.38,121.65
6/21/2018,121.45,4417134,121.83,122.24,121.11
6/20/2018,122.04,6275329,122.42,122.66,121.66
6/19/2018,122.57,8569090,120.66,123.1735,120.57
6/18/2018,121.32,6783598,121.61,121.8125,120.25
6/15/2018,122.61,13172950,122.1,122.7285,121.2401
6/14/2018,122.41,5238722,122.71,123.15,122.09
6/13/2018,122.63,5689761,123.15,124.09,122.46
6/12/2018,122.54,5207920,123.16,123.18,121.95
6/11/2018,122.66,5502245,124.27,124.34,122.55
6/8/2018,124.06,6207388,123.36,124.845,123.33
6/7/2018,123.33,7412738,123,123.49,122.27
6/6/2018,122.79,6798091,121.97,122.79,121.4616
6/5/2018,121.48,5123041,122.05,122.555,120.9
6/4/2018,121.95,4851726,121.85,122.37,121.02
6/1/2018,121.26,5740366,120.38,121.32,119.97
5/31/2018,119.62,10335900,120.92,121.25,119.54
5/30/2018,120.97,6422574,120.12,121.58,119.54
5/29/2018,119.4,9820181,120.5,120.8,118.621
5/25/2018,121.47,4594738,121.56,122.8,121.13
5/24/2018,122.25,6920528,123.22,123.39,121.55
5/23/2018,123.45,4930681,122.87,123.97,122.74
5/22/2018,122.91,7170167,123.8,124.24,122.76
5/21/2018,123.72,5550196,124.62,124.99,123.32
5/18/2018,124.24,5432512,123.78,124.44,123.28
5/17/2018,123.85,6452206,125.49,125.59,123.55
5/16/2018,125.35,3802599,125.44,125.9,125
