date,close,volume,open,high,low
11/23/2018,106.65,6488406,106.74,107.39,106.06
11/21/2018,107.64,10618340,109.03,109.61,107.64
11/20/2018,108.45,18934620,109.78,110.49,107.98
11/19/2018,110.83,13981330,109.96,111.2,109.5282
11/16/2018,109.99,13775880,109.45,110.76,108.55
11/15/2018,110.07,19095940,108.24,110.08,106.81
11/14/2018,107.33,18233660,110.23,110.71,105.9836
11/13/2018,109.59,13744930,109.1,111.12,109.1
11/12/2018,108.95,13279160,111.42,111.94,108.6
11/9/2018,111.29,10430960,112.23,112.36,110.83
11/8/2018,112.38,11658900,111.01,112.925,111
11/7/2018,111.48,12667070,110.37,111.73,109.35
11/6/2018,109.6,10821580,108.67,109.67,107.76
11/5/2018,109.09,10273610,108.61,109.29,108.42
11/2/2018,108.38,19008910,109.9,110.81,107.49
11/1/2018,108.98,13060240,109.62,110.22,108.32
10/31/2018,109.02,20847860,108.08,110.48,107.79
10/30/2018,106.7,18015060,105.71,106.98,104.86
10/29/2018,104.85,18243470,104.46,106.63,103.7
10/26/2018,103.42,19162570,104,104.56,102.73
10/25/2018,104.86,17454950,104.18,105.9,103.72
10/24/2018,103.29,23151030,104.76,105.03,102.9068
10/23/2018,105.25,21403520,104.2,106.16,103.7
10/22/2018,106.36,16125130,108.15,108.34,106.1132
10/19/2018,107.91,15152190,107.65,109.22,107.27
10/18/2018,108.09,17580370,109.02,109.84,107.81
10/17/2018,109.83,18651830,108.38,110.8,108.23
10/16/2018,108.62,19299970,107.16,108.78,106.73
10/15/2018,106.34,18733850,107.2,108.85,106.32
10/12/2018,106.95,32046950,110.37,110.83,105.6
10/11/2018,108.13,33674420,110.97,111.47,107.38
10/10/2018,111.47,22980780,114.7,114.95,111.47
10/9/2018,114.52,13313990,114.67,115.03,113.67
10/8/2018,115.32,13988650,114.25,115.78,113.3534
10/5/2018,114.62,13774290,115.83,116.1,114.015
10/4/2018,115.27,16353980,114.55,116.81,114.21
10/3/2018,115.04,17139050,114.94,115.66,114.48
10/2/2018,113.97,13675490,113.36,114.12,112.8128
10/1/2018,113.5,10108580,113.37,114.61,113.04
9/28/2018,112.84,15811150,113.65,114.24,112.52
9/27/2018,114.52,13278480,115.42,115.76,114.16
9/26/2018,115.02,13973420,116.75,116.8699,114.66
9/25/2018,116.39,9187653,117.04,117.97,116.32
9/24/2018,116.72,12487950,117.76,118.46,116.4315
9/21/2018,117.85,24745470,119.13,119.23,117.74
9/20/2018,118.63,15575320,118.5,119.24,118.08
9/19/2018,117.62,16046720,114.44,118.06,114.44
9/18/2018,114.3,7940094,114.33,114.655,113.56
9/17/2018,113.84,9554932,113.79,114.43,113.3
9/14/2018,113.5,10231520,113.81,114.49,113.23
9/13/2018,113.52,12415090,113.37,114.13,112.67
9/12/2018,113.08,10798760,114.25,114.88,112.85
9/11/2018,114.43,9332254,113.54,114.575,113.18
9/10/2018,113.71,8276288,114.85,114.97,113.66
9/7/2018,114.32,10954450,114.5,114.77,113.63
9/6/2018,114.1,9877590,114.5,114.7,113.5
9/5/2018,114.59,11461150,115,115.7,114.25
9/4/2018,115.15,10169810,114.34,115.24,113.63
8/31/2018,114.58,12964490,114.83,114.84,113.819
8/30/2018,115.19,8991040,115.59,116.04,114.98
8/29/2018,115.76,7218300,116.35,116.37,115.36
8/28/2018,116.14,8302445,117,117.03,115.97
8/27/2018,116.71,13757760,115.22,117.28,115.17
8/24/2018,114.68,8843759,114.98,115.22,114.451
8/23/2018,114.73,9265285,114.96,115.15,114.43
8/22/2018,114.97,8314720,115.31,115.41,114.78
8/21/2018,115.32,10956230,115.37,116.385,114.88
8/20/2018,114.62,8618073,114.59,115.05,114.11
8/17/2018,114.77,8503909,114.64,115.07,114.3
8/16/2018,114.77,10053620,114.35,115.31,114.3
8/15/2018,113.7,10148000,113.82,114.33,112.97
8/14/2018,114.65,10596160,114.27,115.04,113.6499
8/13/2018,113.89,10328380,115.56,115.878,113.815
8/10/2018,115.73,12627850,115.5,115.95,114.6839
8/9/2018,116.88,9646593,117.51,117.72,116.695
8/8/2018,117.79,8996919,117.33,118.2686,117.28
8/7/2018,117.55,10560510,117.74,118.29,117.33
8/6/2018,117.12,9421869,116.79,117.53,116.18
8/3/2018,117.09,11014140,116,117.13,115.94
8/2/2018,116.15,10157940,114.57,116.25,114.33
8/1/2018,115.66,13530130,115.75,116.69,115.28
7/31/2018,114.95,15837180,117.08,117.08,114.82
7/30/2018,116.73,13400350,116.28,117.61,116.06
7/27/2018,116.03,12802140,115.18,116.3,114.81
7/26/2018,114.85,11895560,115.42,115.585,114.581
7/25/2018,115.18,13325550,113.88,115.52,113.38
7/24/2018,114.15,13997780,113.55,114.78,113.42
7/23/2018,113.35,18124810,111.06,114.24,110.93
7/20/2018,111.28,13577430,110,111.74,109.78
7/19/2018,109.89,16768150,111.06,111.09,109.73
7/18/2018,111.53,14238360,110.42,112.12,110.2
7/17/2018,110.5,14810020,110.69,110.93,109.7499
7/16/2018,110.58,24651960,107.05,110.77,106.98
7/13/2018,106.36,21284700,107.3,107.8,105.14
7/12/2018,106.85,12380920,107.42,107.56,105.97
