date,close,volume,open,high,low
11/23/2018,196.8,999927,197.76,198.6799,196.79
11/21/2018,198.69,1832734,199.68,201.18,198.66
11/20/2018,200.51,2676984,203.58,204.135,200.19
11/19/2018,205.58,3219027,207.83,208.05,204.371
11/16/2018,209,2580844,203.24,209.77,202.6037
11/15/2018,204.91,3156648,197.73,205.13,196.24
11/14/2018,198.06,2790971,200.8,201.04,196.29
11/13/2018,198.37,2162796,197.52,200.88,197.16
11/12/2018,197.04,2526397,200.57,200.77,196.5
11/9/2018,201.1,2429270,204,204,199.6974
11/8/2018,204.07,2523111,201,204.2699,200.73
11/7/2018,201.29,2444447,197.19,201.4,195.41
11/6/2018,195.3,1899799,193.27,195.5,193
11/5/2018,193.25,2856578,193.5,194.56,192.21
11/2/2018,192.81,2991724,193.66,194.47,191.6
11/1/2018,192.22,2222196,190.61,193.21,190.09
10/31/2018,190.26,2742850,190.7,192.12,189.665
10/30/2018,189.81,2893464,186.83,190.08,185
10/29/2018,185.79,2866143,187.85,188.88,183.16
10/26/2018,184.95,3541156,183.31,186.655,181.98
10/25/2018,184.99,3506012,186.57,187.48,182.36
10/24/2018,184.54,4994422,192.1,192.96,183.97
10/23/2018,192.55,8253742,188.8,194.89,184.5
10/22/2018,201.36,3223981,201.25,203.4,199.69
10/19/2018,199.85,3069513,200.12,201.1,198.37
10/18/2018,200.38,2334236,202.34,202.52,198.4
10/17/2018,202.93,1823290,201.79,203.77,200.445
10/16/2018,202.33,1855572,200.46,202.52,199.23
10/15/2018,198.94,1796922,197.82,200.7,197.4185
10/12/2018,198.23,2765880,200.87,202.55,195.93
10/11/2018,196.73,3494271,201.15,202.91,196.5
10/10/2018,202.15,3438529,209.19,209.19,201.55
10/9/2018,210.42,2947150,212.68,213.11,209.635
10/8/2018,214.37,1604380,213.13,214.58,212.26
10/5/2018,213.19,2139296,214.35,215.03,211.06
10/4/2018,213.84,1680356,214.85,215.66,212.035
10/3/2018,215.76,2139242,216,217.34,214.94
10/2/2018,215.71,1713565,212.38,215.84,212.1
10/1/2018,212.19,1812420,212.4,213.4,211.31
9/28/2018,210.71,2458455,209.53,211.275,208.87
9/27/2018,210.11,1609765,212,212.87,210
9/26/2018,211.07,1633582,211.49,212.59,210.64
9/25/2018,210.64,1920510,214.13,214.13,210.28
9/24/2018,213.51,2039409,215.39,215.865,212.69
9/21/2018,216.33,5530828,217.32,217.87,215.61
9/20/2018,215.27,2072840,214.7,217,213.26
9/19/2018,213.12,1884468,211.77,214.1399,211.63
9/18/2018,211.53,1651271,210.24,211.825,208.43
9/17/2018,209.53,1588696,207.46,210.19,207.3
9/14/2018,207.88,1685044,208.84,210.295,207.15
9/13/2018,209.05,2139501,207.34,209.14,206.55
9/12/2018,206.71,4932355,212.3,214.76,205.9
9/11/2018,211.78,1967469,211.36,212.22,210
9/10/2018,212.93,2334247,213.68,216.37,212.86
9/7/2018,212.57,2714511,212.24,212.97,209.97
9/6/2018,212.74,2356818,212,213.37,211.07
9/5/2018,211.83,1950618,208.29,211.91,207.3512
9/4/2018,208.6,2021176,210.55,210.75,207.545
8/31/2018,210.92,1880406,209.57,211.72,209.44
8/30/2018,210.22,2196936,209.71,211.09,209.23
8/29/2018,210.46,2110313,209.17,210.97,208.51
8/28/2018,209.43,2136657,208.97,210.12,208.4835
8/27/2018,208.33,1776123,206.18,208.5,205.85
8/24/2018,205.29,1628103,203.28,205.49,203.0701
8/23/2018,202.75,1367282,203,203.1523,201.461
8/22/2018,204.26,1461230,205.77,205.77,203.4
8/21/2018,205.69,1693589,205,206.04,204.39
8/20/2018,204.6,2080603,205.72,205.8,203.66
8/17/2018,204.77,1598378,203.28,204.99,201.89
8/16/2018,203.15,1621259,202.02,203.43,201.82
8/15/2018,201.39,2028863,199.25,201.76,197.11
8/14/2018,200.52,1715670,199.78,201.08,199.41
8/13/2018,199.84,1586980,202.02,202.79,199.5
8/10/2018,201.96,1892697,203.81,204.13,201
8/9/2018,204.78,1811405,207.14,207.97,204.49
8/8/2018,207.14,1052108,208.49,209.04,206.77
8/7/2018,208.57,1313549,208.01,209.61,207.37
8/6/2018,206.7,1063834,207.45,207.46,205.235
8/3/2018,207.29,1299919,205.92,207.581,205.2
8/2/2018,205.53,1698504,205.95,205.99,203.85
8/1/2018,207.05,2066524,210.98,211.06,206.87
7/31/2018,212.32,3560432,207.23,212.78,206.5
7/30/2018,205.12,2040391,208.25,209.25,204.76
7/27/2018,207.42,2247966,208.68,210.6,206.85
7/26/2018,207.96,2838833,204.89,208.44,204.65
7/25/2018,204.38,3345073,200.63,204.49,200.52
7/24/2018,200.68,8153724,192.94,202.19,190.57
7/23/2018,198.84,3226005,201.54,201.54,197.68
7/20/2018,201.95,2325402,199.33,202.945,198.25
7/19/2018,201.6,2602531,201.76,202.29,199.51
7/18/2018,202.2,1912017,202.22,203.17,201.35
7/17/2018,202.07,1919530,200.99,203.07,200.13
7/16/2018,201.11,1467900,201.55,201.579,200.08
7/13/2018,201.18,1625394,200.27,201.79,200
7/12/2018,199.32,1732396,199.17,200,197.401
7/11/2018,197.68,1851781,199.82,199.82,197.49
7/10/2018,201.48,1684427,201,202.58,200.39
7/9/2018,200.53,1964806,198.14,200.84,198.07
7/6/2018,197.46,1624458,197.09,198.06,196.39
7/5/2018,197.34,2004725,197.07,197.48,195.03
7/3/2018,195.83,1228949,196.49,198.95,195.5
7/2/2018,195.52,1815547,195.46,195.89,193.51
6/29/2018,196.72,2656142,196.47,199.42,196.46
6/28/2018,195.97,1978536,195.5,196.845,194.21
6/27/2018,194.92,2637716,196.57,199.9,194.76
6/26/2018,196.58,2137049,196.84,197.95,195.981
6/25/2018,195.8,2921242,195.98,196.33,193.64
6/22/2018,196.5,2834281,197.39,197.44,195.18
6/21/2018,195.52,2415135,197.84,197.84,194.59
6/20/2018,198.08,2345241,199.34,200,197.26
6/19/2018,199.39,3205277,201.26,201.83,198.33
6/18/2018,204.17,2812369,202.53,204.57,200.25
6/15/2018,204.97,5429677,202.55,205.06,200.11
6/14/2018,203.63,2199901,205.76,206.2715,203.5
6/13/2018,204.89,1860202,205.14,205.66,203.73
6/12/2018,204.92,1796336,205.67,205.95,203.95
6/11/2018,205.12,2193213,206.59,206.79,205
6/8/2018,206.59,2168098,204.98,206.75,204.41
6/7/2018,205.07,2125906,204.18,205.89,203.76
6/6/2018,203.86,2297601,201.84,204.05,201.5528
6/5/2018,201.2,2246119,201.08,202.1,200.89
6/4/2018,201.06,2406562,200.73,201.69,200.07
6/1/2018,199.59,1824144,198.75,200.42,198.28
5/31/2018,197.23,5245424,198.11,198.45,196.26
5/30/2018,198.68,2128013,197.09,199.38,196.7
5/29/2018,195.74,2346582,198,198.51,195.1
5/25/2018,199.03,1686477,198.33,199.41,197.93
5/24/2018,199.41,2025669,198.83,200.18,196.931
5/23/2018,198.67,2733782,197.74,198.8,196.56
5/22/2018,198.97,2313874,201.96,202.11,198.73
5/21/2018,201.76,2067885,200.5,202.9273,200
5/18/2018,198.96,2924497,200.28,200.76,198.45
5/17/2018,200.36,2265727,199.27,201.4,198.69
5/16/2018,200.21,2912145,200.52,201.04,199.05
5/15/2018,202.41,2259083,204.96,205.57,201.64
5/14/2018,205.76,3385879,205.67,206.04,204.67
5/11/2018,205.16,3155316,204.74,205.37,203.66
5/10/2018,205.03,2700822,202.61,205.68,202.391
5/9/2018,203.42,3357432,202.03,204.73,201.37
5/8/2018,201.74,3233343,200,202.11,199.56
5/7/2018,200.26,2867218,200.06,201,199.58
5/4/2018,199.36,3071548,195.07,199.9299,194.0621
5/3/2018,195.68,3425820,194.52,196.7,192.35
5/2/2018,194.5,4017108,195.15,196.41,194.019
5/1/2018,195.02,4710419,194.03,195.5399,191.44
4/30/2018,194.39,4002210,196.96,198.34,194.18
4/27/2018,196.12,3354611,196.77,197.11,194.4
4/26/2018,197.09,4106351,198.68,199.6275,196.17
4/25/2018,198.84,6204206,201.1,201.75,197.01
