Date,Open,High,Low,Close,Adj Close,Volume
2008-11-24,5.940000,6.820000,5.600000,6.660000,5.063797,15312700
2008-11-25,6.950000,7.180000,6.010000,6.460000,4.911730,18082000
2008-11-26,6.280000,7.200000,6.080000,7.030000,5.345119,14187800
2008-11-28,7.330000,7.500000,6.700000,7.420000,5.641647,6678400
2008-12-01,7.200000,7.300000,6.350000,6.410000,4.873715,12754500
2008-12-02,6.540000,7.020000,6.300000,7.000000,5.322309,11106800
2008-12-03,6.600000,7.440000,6.400000,7.390000,5.618837,21078900
2008-12-04,7.180000,8.820000,7.100000,7.830000,5.953382,25004900
2008-12-05,7.460000,8.670000,7.350000,8.610000,6.546439,14209900
2008-12-08,8.940000,9.120000,8.350000,8.820000,6.706109,14796600
2008-12-09,8.500000,9.590000,8.180000,8.560000,6.508424,12752000
2008-12-10,8.840000,9.380000,8.540000,8.840000,6.721320,17194700
2008-12-11,8.720000,9.070000,8.000000,8.170000,6.306419,11827700
2008-12-12,8.000000,8.520000,7.700000,8.500000,6.561147,9676000
2008-12-15,8.520000,8.690000,7.980000,8.150000,6.290982,12264100
2008-12-16,8.320000,8.570000,8.170000,8.470000,6.537989,11597600
2008-12-17,8.290000,10.370000,8.210000,10.010000,7.726713,25681700
2008-12-18,10.050000,10.610000,9.990000,10.420000,8.043196,21692600
2008-12-19,10.550000,10.750000,10.150000,10.620000,8.197575,15245400
2008-12-22,10.570000,10.570000,9.040000,9.350000,7.217260,11786400
2008-12-23,9.310000,9.740000,8.600000,8.710000,6.723247,9437700
2008-12-24,8.970000,8.970000,8.550000,8.820000,6.808153,2752400
2008-12-26,8.920000,9.100000,8.400000,8.600000,6.638337,2729600
2008-12-29,8.590000,8.960000,8.500000,8.890000,6.862186,6358200
2008-12-30,8.960000,9.580000,8.610000,9.410000,7.263577,6841600
2008-12-31,9.270000,10.450000,9.140000,10.350000,7.989161,12894900
2009-01-02,10.440000,11.110000,10.130000,10.980000,8.475460,8828800
2009-01-05,10.800000,11.930000,10.620000,11.660000,9.000349,15490300
2009-01-06,11.690000,11.930000,11.400000,11.690000,9.023503,11863400
2009-01-07,11.450000,11.770000,11.060000,11.310000,8.730186,12461500
2009-01-08,10.940000,11.660000,10.740000,10.930000,8.436861,15256500
2009-01-09,10.810000,11.210000,10.120000,10.300000,7.950566,12694400
2009-01-12,10.060000,10.530000,9.750000,9.930000,7.664964,9024900
2009-01-13,9.880000,10.350000,9.750000,10.050000,7.757593,9879300
2009-01-14,9.820000,9.830000,9.230000,9.470000,7.309889,12016400
2009-01-15,9.480000,10.140000,8.940000,9.740000,7.518304,12560000
2009-01-16,10.050000,10.090000,9.320000,9.760000,7.533742,9625300
2009-01-20,9.760000,9.910000,8.540000,8.730000,6.738682,8860400
2009-01-21,8.940000,9.280000,8.630000,9.260000,7.147789,8219000
2009-01-22,9.490000,10.020000,9.130000,9.390000,7.248138,13791600
2009-01-23,9.010000,9.930000,9.010000,9.650000,7.448833,10147700
2009-01-26,9.650000,10.100000,9.490000,9.730000,7.510582,7971700
2009-01-27,9.580000,9.950000,9.310000,9.570000,7.387079,8661800
2009-01-28,9.770000,10.250000,9.760000,10.040000,7.749872,9105300
2009-01-29,9.840000,9.990000,9.380000,9.410000,7.263577,9812100
2009-01-30,9.460000,9.590000,8.700000,8.950000,6.908499,15059300
2009-02-02,8.700000,9.490000,7.500000,8.590000,6.630618,42781100
2009-02-03,8.410000,9.010000,8.130000,8.830000,6.815874,20670100
2009-02-04,8.720000,8.800000,8.100000,8.320000,6.422205,16566500
2009-02-05,8.670000,8.990000,8.370000,8.750000,6.754123,18002200
2009-02-06,8.860000,9.910000,8.760000,9.700000,7.487428,16564600
2009-02-09,9.700000,9.850000,9.170000,9.460000,7.302170,8117700
2009-02-10,9.350000,9.520000,8.710000,8.780000,6.777278,9248400
2009-02-11,8.870000,9.190000,8.260000,8.500000,6.561147,12665200
2009-02-12,8.440000,8.750000,8.100000,8.710000,6.723247,15384700
2009-02-13,8.850000,8.970000,8.280000,8.630000,6.661494,12614500
2009-02-17,8.060000,8.440000,7.980000,8.080000,6.236948,13025600
2009-02-18,8.170000,8.270000,7.720000,7.890000,6.090290,12778100
2009-02-19,8.110000,8.350000,7.600000,7.660000,5.912750,12208200
2009-02-20,7.550000,8.000000,7.350000,7.860000,6.067131,16329100
2009-02-23,8.000000,8.000000,7.350000,7.400000,5.712056,15378400
2009-02-24,7.510000,8.430000,7.300000,8.290000,6.399048,23297000
2009-02-25,8.240000,8.420000,7.460000,8.100000,6.252387,18264400
2009-02-26,8.210000,8.390000,7.770000,7.840000,6.051692,7878200
2009-02-27,7.620000,8.120000,7.420000,7.870000,6.074849,8228300
2009-03-02,7.570000,7.960000,7.330000,7.370000,5.688900,14332500
2009-03-03,7.400000,7.540000,7.010000,7.180000,5.542238,13512400
2009-03-04,7.480000,7.570000,7.080000,7.350000,5.673462,11646300
