date,close,volume,open,high,low
11/23/2018,43.14,8390899,42.95,43.545,42.8
11/21/2018,43.1,18658260,43.5,43.5,42.773
11/20/2018,43.53,21791720,44.01,44.39,43.4
11/19/2018,44.18,22196740,43.62,44.27,43.51
11/16/2018,43.51,23278630,43.1,43.78,42.9136
11/15/2018,43.21,24324210,42.7,43.385,42.345
11/14/2018,42.91,26892550,43.76,43.85,42.7123
11/13/2018,43.52,18716470,44.33,44.46,43.35
11/12/2018,44.11,20100890,44.28,44.55,43.9
11/9/2018,44.28,24571820,43.72,44.61,43.72
11/8/2018,43.85,24378580,43.86,44.2,43.47
11/7/2018,44.4,34909730,43.38,44.56,43.29
11/6/2018,43.01,21055110,43.58,43.59,42.685
11/5/2018,43.52,20520300,42.83,43.6163,42.83
11/2/2018,42.93,22942830,43.76,43.84,42.48
11/1/2018,43.67,22986840,43.2,43.83,43.09
10/31/2018,43.06,26709330,43.01,43.66,42.71
10/30/2018,42.89,33285070,41.95,43.0885,41.78
10/29/2018,43.23,28557660,42.95,43.68,42.56
10/26/2018,42.6,28737090,43.05,43.28,42.18
10/25/2018,43.41,36500190,42.39,43.94,41.66
10/24/2018,42.48,34717480,43.81,44.2853,42.355
10/23/2018,44.1,21518570,43.89,44.32,43.69
10/22/2018,44.37,16851400,44.44,44.51,44.02
10/19/2018,44.5,18236110,44.05,44.83,43.98
10/18/2018,44,20251520,44.34,44.5,43.71
10/17/2018,44.57,20132220,43.77,44.795,43.75
10/16/2018,43.93,20558760,43.35,43.98,43.04
10/15/2018,43.12,21641630,43.65,43.71,42.98
10/12/2018,43.78,28488910,42.77,43.96,42.64
10/11/2018,42.81,41976960,44.36,44.49,42.4038
10/10/2018,44.51,29130870,45.45,45.73,44.48
10/9/2018,45.47,20383960,44.99,45.81,44.79
10/8/2018,45.28,20048090,44.75,45.3193,44.7
10/5/2018,44.91,17171490,44.71,45,44.6
10/4/2018,44.7,17986260,44.53,44.79,44.29
10/3/2018,44.81,21069600,44.28,44.84,44.28
10/2/2018,44.22,17226620,44.21,44.39,44.13
10/1/2018,44.27,15685450,44.03,44.52,43.91
9/28/2018,44.07,14658720,43.93,44.14,43.725
9/27/2018,43.9,14078900,43.79,44.18,43.68
9/26/2018,43.68,17174930,43.84,44.31,43.64
9/25/2018,43.79,14269400,44.13,44.29,43.76
9/24/2018,43.93,17095370,43.94,44.455,43.83
9/21/2018,44.06,34791250,43.78,44.195,43.61
9/20/2018,43.75,17476110,43.37,43.88,43.35
9/19/2018,43.26,22563610,43.42,43.68,42.99
9/18/2018,43.51,19252020,43,43.6788,42.83
9/17/2018,43.01,15778950,43.02,43.18,42.74
9/14/2018,42.96,15617390,42.75,43,42.5
9/13/2018,42.85,16793400,42.5,42.92,42.43
9/12/2018,42.41,16544080,42.3,42.79,42.28
9/11/2018,42.31,18020820,42,42.425,41.95
9/10/2018,42.06,20170620,42.38,42.72,42.05
9/7/2018,42.2,19981730,41.59,42.35,41.46
9/6/2018,41.78,17387230,41.85,41.91,41.45
9/5/2018,41.85,20588760,41.29,41.92,41.26
9/4/2018,41.37,14424780,41.48,41.55,41.22
8/31/2018,41.52,19574390,41.29,41.575,41.09
8/30/2018,41.5,14872430,41.23,41.905,41.2
8/29/2018,41.5,14798280,41.5,41.615,41.17
8/28/2018,41.5,18853560,41.61,41.78,41.32
8/27/2018,41.58,23182200,42.52,42.62,41.31
8/24/2018,42.4,20172320,42.43,42.49,42
8/23/2018,42.2,19861930,42.11,42.32,41.9608
8/22/2018,42.07,14216650,42.15,42.335,41.81
8/21/2018,42.16,17540510,42.33,42.44,41.99
8/20/2018,42.33,21220160,42.2,42.77,42.09
8/17/2018,42.09,24567460,41.48,42.19,41.47
8/16/2018,41.42,15475680,41.23,41.47,41.07
8/15/2018,41.16,20938710,40.8,41.24,40.65
8/14/2018,40.71,15996150,40.84,41.035,40.54
8/13/2018,40.81,17634130,40.95,41.21,40.81
8/10/2018,40.93,17200840,40.81,41.31,40.7
8/9/2018,41,18444750,41.3,41.37,40.81
8/8/2018,41.41,24403180,40.71,41.64,40.58
8/7/2018,40.84,17478080,40.85,41.25,40.79
8/6/2018,41.04,26065570,40.356,41.22,40.33
8/3/2018,40.54,25963290,39.62,40.66,39.49
8/2/2018,39.65,30245700,39.62,40.22,39.535
8/1/2018,40.27,31044200,39.63,40.32,39.54
7/31/2018,39.93,47712610,38.21,39.99,38.14
7/30/2018,38.59,20775780,38.36,38.68,38.18
7/27/2018,38.41,20979080,38.1,38.48,38.07
7/26/2018,38.16,23424190,38.04,38.37,38.04
7/25/2018,37.99,16291200,37.67,38.07,37.56
7/24/2018,37.7,16817330,37.37,37.75,37.265
7/23/2018,37.21,19140860,37.34,37.51,37.14
7/20/2018,37.33,14736630,37.2,37.33,37.12
7/19/2018,37.36,15746030,37.45,37.6,37.31
7/18/2018,37.66,19719800,37.59,37.73,37.48
7/17/2018,37.65,14927100,37.46,37.77,37.45
7/16/2018,37.38,16963530,37.48,37.545,37.29
7/13/2018,37.53,14446870,37.5,37.59,37.22
7/12/2018,37.52,16103100,37.41,37.56,37.21
7/11/2018,37.21,16801130,37.25,37.405,37.16
7/10/2018,37.43,19188960,37.3,37.5,37.2
7/9/2018,37.16,21115210,37.27,37.47,37.01
7/6/2018,37.11,17984260,37,37.24,36.875
7/5/2018,36.87,19318840,36.54,36.91,36.51
7/3/2018,36.35,9115864,36.39,36.58,36.24
7/2/2018,36.33,13713500,36,36.37,36
6/29/2018,36.28,19898960,36.45,36.58,36.28
6/28/2018,36.36,15658910,36.11,36.485,36.11
6/27/2018,36.21,27888490,36.3,36.55,36.18
6/26/2018,36.38,24116090,36.4,36.585,36.3
6/25/2018,36.38,19361480,36.32,36.46,36.135
6/22/2018,36.51,26607070,36.49,36.635,36.395
6/21/2018,36.3,16025940,36.27,36.36,36.15
6/20/2018,36.46,20249440,36.29,36.58,36.21
6/19/2018,36.22,17520100,35.89,36.36,35.87
6/18/2018,36.16,22900780,36.13,36.22,35.73
6/15/2018,36.36,46625590,36.19,36.39,36.035
6/14/2018,36.16,18933950,36.22,36.385,36.045
6/13/2018,36.22,15111960,36.37,36.51,36.2
6/12/2018,36.3,15421080,36.39,36.395,36.145
6/11/2018,36.3,18399410,36.8,36.8,36.28
6/8/2018,36.67,15459340,36.53,36.705,36.45
6/7/2018,36.49,16207870,36.49,36.59,36.37
6/6/2018,36.38,18375220,36.395,36.57,36.19
6/5/2018,36.44,20375700,36.51,36.64,36.34
6/4/2018,36.45,18025710,36.41,36.56,36.23
6/1/2018,36.25,21196590,36.26,36.285,36.11
5/31/2018,35.93,29327960,35.95,36.2,35.89
5/30/2018,36.05,27401040,35.95,36.25,35.9
5/29/2018,35.7,26734330,35.37,35.73,35.32
5/25/2018,35.68,14236570,35.82,35.92,35.5442
5/24/2018,35.89,16571390,35.96,36.09,35.77
5/23/2018,35.97,19278400,35.68,36.035,35.63
5/22/2018,35.72,13735580,35.8,36.09,35.69
5/21/2018,35.8,15246090,35.71,35.87,35.52
5/18/2018,35.64,14453350,35.61,35.75,35.43
5/17/2018,35.71,12349280,35.63,35.78,35.44
5/16/2018,35.68,13346900,35.73,35.875,35.57
5/15/2018,35.69,18354400,35.76,35.775,35.48
5/14/2018,35.86,20273390,35.51,35.925,35.4901
5/11/2018,35.5,20496090,35.13,35.56,35.07
5/10/2018,35.04,29323230,35,35.31,34.89
5/9/2018,35.17,19363210,35.02,35.405,34.87
5/8/2018,34.98,26549230,34.91,35.09,34.71
5/7/2018,34.93,20476250,34.79,35.13,34.71
5/4/2018,34.84,18780500,34.56,34.995,34.37
5/3/2018,34.76,22312230,34.82,34.88,34.42
5/2/2018,34.89,26607420,35.17,35.37,34.745
5/1/2018,35.4,48646240,35.58,36.045,34.64
4/30/2018,36.61,26773530,37.13,37.18,36.4
4/27/2018,37,13685860,36.78,37.11,36.7
4/26/2018,36.85,19281310,36.8,37.1,36.75
4/25/2018,36.68,24725760,36.92,37.04,36.51
4/24/2018,37.06,25430640,36.91,37.265,36.765
4/23/2018,36.8,23639920,36.67,36.89,36.6
4/20/2018,36.63,21216910,36.5,36.79,36.47
4/19/2018,36.53,15725430,36.39,36.69,36.27
4/18/2018,36.49,13832190,36.38,36.59,36.285
4/17/2018,36.33,16762770,36.75,36.78,36.27
4/16/2018,36.53,15115580,36.5,36.73,36.39
4/13/2018,36.32,15146460,36.41,36.5,36.13
4/12/2018,36.32,22594100,36.03,36.5,35.97
4/11/2018,35.79,13028320,35.73,36.07,35.59
4/10/2018,35.95,19711880,36,36.1,35.72
4/9/2018,35.46,19154860,35.3,35.93,35.22
4/6/2018,35.17,20652530,35.56,35.87,34.89
4/5/2018,35.73,23982410,35.67,36.0025,35.535
4/4/2018,36.13,20375360,35.32,36.23,35.24
4/3/2018,35.68,20254070,35.11,35.735,34.92
4/2/2018,35.05,26722870,35.42,35.74,34.76
3/29/2018,35.49,23533780,35.52,35.675,35.07
