date,close,volume,open,high,low
11/23/2018,126.6,405778,127.44,127.65,126.36
11/21/2018,127.76,1503249,128.1,129.54,127.31
11/20/2018,128.37,1893595,130.95,131.1,128.26
11/19/2018,130.52,2086259,128.93,130.57,128.6
11/16/2018,128.77,2734079,124.98,128.79,124.71
11/15/2018,125.59,2408878,122.48,125.61,121.4
11/14/2018,123.04,3124370,127.15,127.5,122.23
11/13/2018,126.81,1384043,126.88,128.27,126.43
11/12/2018,127.04,1776011,130.3,130.8,126.83
11/9/2018,131.03,1379390,131.14,131.81,130.28
11/8/2018,130.99,1879174,130.05,131.51,129.98
11/7/2018,130.28,1449131,129.12,130.37,128.22
11/6/2018,128.6,1586639,126.24,128.66,126.13
11/5/2018,126.53,1077608,125.16,127.38,125.16
11/2/2018,124.9,1636966,126.7,126.93,123.96
11/1/2018,125.2,1319562,124.98,125.34,124.02
10/31/2018,125.13,2150048,126.22,126.96,125.03
10/30/2018,125.87,2217034,122.97,126.01,122.09
10/29/2018,122.32,2322958,122.82,124.5,121.59
10/26/2018,121.29,3569513,121.02,122.11,119.665
10/25/2018,121.24,2317958,121.97,122.27,120.37
10/24/2018,121.56,2291769,123.47,123.6846,121.3
10/23/2018,123.8,2000962,122.5,124.58,122.3
10/22/2018,124.07,1333844,125.9,126.645,123.98
10/19/2018,126.07,2044573,124.33,126.79,124.01
10/18/2018,125.14,2785651,126.62,127.3,123.7
10/17/2018,126.44,2106779,124.77,127.19,124.5775
10/16/2018,124.75,1232649,123.82,124.85,123.34
10/15/2018,123.39,1297431,123.34,124.7,123.02
10/12/2018,123.65,2283058,124.26,125.1,121.465
10/11/2018,124.31,2428568,127.98,128,123.59
10/10/2018,128.17,1654199,130.91,131.6,128.01
10/9/2018,131.59,865003,131.54,132.025,130.32
10/8/2018,131.66,971143,130.01,132.47,129.92
10/5/2018,130.13,870499,130.18,131.4399,129.83
10/4/2018,130.79,1242586,129.88,130.875,129.55
10/3/2018,129.54,1545701,130.17,130.34,129.07
10/2/2018,129.51,1304325,128.69,129.6,128.24
10/1/2018,128.97,1348861,130,130.64,128.63
9/28/2018,129.71,1322896,128.71,129.92,128.22
9/27/2018,129.12,836456,129.39,129.93,128.47
9/26/2018,129.5,1306225,131.74,131.74,129.2
9/25/2018,131.29,827066,133.1,133.1,131.14
9/24/2018,132.83,1054187,134.44,134.44,132.72
9/21/2018,134.44,2615797,134.46,134.51,133.19
9/20/2018,134.15,1635673,133.33,134.61,133.1
9/19/2018,132.5,1470874,131.67,133.5,131.3719
9/18/2018,131.37,1455475,130,131.74,129.5042
9/17/2018,129.89,967390,130.22,130.6,129.59
9/14/2018,130.01,1162068,129,130.12,128.68
9/13/2018,128.83,1408965,128.5,129.41,127.738
9/12/2018,126.89,1746382,127.87,128.2,126.3
9/11/2018,127.85,1792325,126.52,128.31,125.71
9/10/2018,127.6,1840776,129.39,129.55,126.93
9/7/2018,130.09,1300171,131.54,132.11,129.97
9/6/2018,132.57,1270319,132.43,133.4,132.09
9/5/2018,132.59,1209475,132.02,133.31,132.02
9/4/2018,132.13,973903,131.71,132.24,131.01
8/31/2018,131.6,991861,131.42,131.72,130.67
8/30/2018,131.65,1262069,132.55,132.64,131.1
8/29/2018,132.66,1021162,132.58,133.251,131.94
8/28/2018,132.28,1055959,132.05,132.77,132.05
8/27/2018,131.89,1257301,131.81,132.33,131.34
8/24/2018,130.51,1180305,130.06,130.68,129.85
8/23/2018,129.52,1115446,129.5,129.87,128.94
8/22/2018,129.41,1083857,131.88,131.88,129.26
8/21/2018,131.71,1240764,131.22,132.26,130.93
8/20/2018,131.42,1146993,130.75,131.64,130.5
8/17/2018,130.42,1656624,130.17,130.81,129.61
8/16/2018,130.34,1324462,129.26,130.965,129.1441
8/15/2018,128.77,1260964,127.12,129.09,126.92
8/14/2018,127.54,1143824,127.96,127.99,126.68
8/13/2018,128.05,1209838,128.69,129.3534,127.61
8/10/2018,128.87,957530,128.73,129.16,127.61
8/9/2018,129.56,859253,129.1,130.12,128.61
8/8/2018,129.21,1430674,129.87,129.87,129.11
8/7/2018,129.94,814708,130.51,131.13,129.78
8/6/2018,130,1544120,129.72,130.52,129.6
8/3/2018,129.7,1882815,128.14,129.7,127.73
8/2/2018,128.33,1778636,128.06,128.86,127
8/1/2018,128.96,1388477,130.03,130.45,128.91
7/31/2018,130.14,1676564,131.28,131.42,129.77
7/30/2018,131.1,1487663,130.52,131.975,130.13
7/27/2018,130.73,1954006,129.94,131.63,129.71
7/26/2018,129.49,2253480,127.25,130.12,126.4935
7/25/2018,126.28,2167780,124.77,126.43,123.98
7/24/2018,124.75,1890508,124.74,125.39,123.94
7/23/2018,124.24,1654264,125.55,125.55,123.58
7/20/2018,125.2,1879878,124.86,126.13,124.335
7/19/2018,125.18,2794696,127,127.5,124.61
7/18/2018,130,1422377,128.83,130.46,128.34
7/17/2018,128.79,1978973,128.58,129.445,127.87
7/16/2018,128.19,1100888,127.01,128.23,126.62
7/13/2018,126.63,901739,126.17,126.79,125.4568
7/12/2018,126.02,1297063,126.43,126.43,125.111
7/11/2018,125.05,1199804,125.36,125.67,124.53
7/10/2018,125.87,1301818,125.59,126.14,125.39
7/9/2018,125.4,1130325,123.84,125.6,123.54
7/6/2018,123.18,1007046,122.61,123.8,121.82
7/5/2018,122.6,1285832,123.43,123.49,121.81
7/3/2018,122.77,659117,123.07,124.05,122.64
7/2/2018,122.39,1092531,122.08,122.45,121.395
6/29/2018,122.34,1220545,122.49,124.02,122.1
6/28/2018,122.45,1265779,121.04,122.825,120.74
6/27/2018,121.34,1055725,122.53,123.47,121.29
6/26/2018,122.62,1312913,123.83,124.4016,122.53
6/25/2018,123.72,1698130,124.31,124.92,122.46
6/22/2018,124.41,1816652,124.2,125.31,123.675
6/21/2018,123.45,1577596,124.37,124.94,122.83
6/20/2018,124.99,1403161,128.8,128.83,124.91
6/19/2018,128.16,1153458,126.54,128.35,126.54
6/18/2018,127.59,1587605,128.05,128.25,126.74
6/15/2018,129.37,3200820,128.06,129.43,127.76
6/14/2018,128.86,1131742,129.94,130.08,128.75
6/13/2018,129.72,1048105,130.03,130.82,129.23
6/12/2018,129.58,1083483,130.51,130.89,129.1
6/11/2018,130.5,799881,131.34,131.49,130.44
6/8/2018,131.32,1507976,129.99,131.64,129.55
6/7/2018,129.77,1463273,128.37,130.08,127.64
6/6/2018,128.77,2388736,129.9,130.48,127.61
6/5/2018,129.17,1381192,129.26,129.52,128.08
6/4/2018,129.72,1034926,129.94,130.51,129.52
6/1/2018,129.29,1001110,129.84,129.98,128.71
5/31/2018,128.52,1790222,129.91,129.935,127.71
5/30/2018,130.17,1263785,129.18,130.72,128.91
5/29/2018,128.21,1742326,129.89,130.16,127.51
5/25/2018,131.03,846508,130.17,131.47,130.14
5/24/2018,130.65,818057,130.77,130.85,129.34
5/23/2018,130.9,1085790,131.1,131.24,130.11
5/22/2018,131.42,769227,131.13,132.06,130.57
5/21/2018,131.14,1027589,130.71,131.96,130.02
5/18/2018,129.85,986057,130.76,130.7698,129.52
5/17/2018,130.72,807806,130,130.83,129.68
5/16/2018,130.15,840494,129.83,130.54,129.52
5/15/2018,129.86,1547491,129.2,130.35,128.84
5/14/2018,130,1219186,131.51,131.77,129.72
5/11/2018,131.25,1046676,130.99,132.09,130.61
5/10/2018,130.88,916713,129.94,131.15,129.44
5/9/2018,129.75,1164909,129.39,130.21,128.58
5/8/2018,128.66,1220725,128.98,129.63,127.89
5/7/2018,128.99,1222854,129.64,129.8344,128.77
5/4/2018,129.71,1545377,126.71,130.44,126.52
5/3/2018,127.31,2182779,127.41,127.81,125.15
5/2/2018,128.32,2145322,130.51,130.79,127.23
5/1/2018,131.09,1264693,131.56,131.56,129.7
4/30/2018,131.6,1705217,133.88,134.35,131.48
4/27/2018,133.19,1107113,132.34,133.775,131.95
4/26/2018,132.95,1709265,132.34,133.33,131.51
4/25/2018,132.22,1799288,131.91,133.28,131.39
4/24/2018,132.88,3147502,132.14,133.93,130.79
4/23/2018,137.23,1718236,137.09,137.68,136.03
4/20/2018,136.84,1423564,136.86,137.84,135.85
4/19/2018,136.59,1624341,135.75,137.52,135.645
4/18/2018,136.47,1397095,137.77,137.92,135.18
4/17/2018,137.34,1817407,138.465,138.99,137.01
4/16/2018,137.55,1354919,137.55,138.32,136.3
4/13/2018,136.29,1030611,138.37,138.61,135.6
4/12/2018,137.29,1092586,137.35,138.33,136.73
4/11/2018,136.59,919776,135.8,137.13,135.64
4/10/2018,137.86,1347044,138.7,139.26,137.12
4/9/2018,137.23,1758310,137.76,139.12,136.47
4/6/2018,137.25,1738587,138.55,139.54,136.43
4/5/2018,139.29,1209603,139.2,140.03,138.05
4/4/2018,138.63,1479697,135.02,138.81,134.54
4/3/2018,136.99,1472069,135.4,137.28,134.84
4/2/2018,134.84,2212205,138.52,138.73,132.89
3/29/2018,138.86,1378018,139.48,139.97,138.4699
3/28/2018,138.79,1788149,137.12,139.34,136.49
3/27/2018,136.75,1385464,139.18,139.18,135.93
3/26/2018,138.22,1364545,136.57,138.39,136.17
3/23/2018,134.9,1690856,138.39,138.65,134.77
3/22/2018,138.15,1845261,140.01,140.63,138.09
3/21/2018,141.1,1210130,141.56,142.64,140.4
3/20/2018,141.48,973815,140.64,142.12,140.18
3/19/2018,140.02,1459718,141.29,141.29,139.56
3/16/2018,141.32,3939221,140.15,142.1,140.03
3/15/2018,140.47,1307160,140.24,141.82,139.38
3/14/2018,139.52,1285083,141.68,141.68,139.01
3/13/2018,140.69,1347461,142.29,142.61,140.51
3/12/2018,141.49,1194408,142.79,143.25,140.9
3/9/2018,142.3,1429029,140.2,142.43,139.83
3/8/2018,139.67,1663264,138.92,139.86,138.2
3/7/2018,138.88,1779352,140.45,140.715,137.53
3/6/2018,141.39,1467325,140.13,141.53,139.3
3/5/2018,139.58,1903149,138.02,140.38,137.7
3/2/2018,137.88,1844247,138,138.81,136.76
3/1/2018,138.97,2382095,139.4,139.94,137.18
2/28/2018,139,1462535,141.97,142.77,138.89
2/27/2018,141.54,1869523,143.13,143.41,141.08
2/26/2018,142.58,1809583,140.21,143.4,140.21
2/23/2018,139.74,1999788,138.3,139.85,137.57
2/22/2018,137.64,1742199,138.68,139.9899,137.35
2/21/2018,138.54,1334512,139.28,140.92,138.52
2/20/2018,139.07,1527313,140.48,140.8,138.39
2/16/2018,141.16,1923925,140.93,141.88,140.44
2/15/2018,140.88,1401766,141.95,142.24,139.905
2/14/2018,140.6,1907066,137.63,140.88,137.63
2/13/2018,138.58,1208227,137.64,138.82,136.72
2/12/2018,138.14,2404566,137.27,139.17,136.08
2/9/2018,137.08,3642963,135.91,138.15,132.76
2/8/2018,135.01,3133053,141.52,141.98,134.91
2/7/2018,142.14,3029912,140.08,143.9372,139.96
2/6/2018,140.85,3853614,137.02,141.21,136.33
2/5/2018,141.52,3299323,146.63,147.88,139.57
2/2/2018,147.95,2292708,149.69,150.55,147.81
2/1/2018,150,1992577,149.68,150.48,148.8
1/31/2018,149.92,2078125,148.31,150.18,147.72
1/30/2018,148.72,2397244,148.69,150.42,148
1/29/2018,148.96,1860547,149.52,149.69,148.5552
1/26/2018,149.42,2534202,149.4,150.1899,148.26
1/25/2018,148.47,2201520,147.43,148.88,146.95
1/24/2018,147.62,2372491,146.91,148.05,146.27
1/23/2018,146.26,4993634,144.34,146.96,142.79
1/22/2018,139.35,2916406,137.46,139.35,137.3191
1/19/2018,137.85,1612639,137.76,137.99,136.69
1/18/2018,137.34,1543964,137.06,137.7,136.18
1/17/2018,136.86,1730057,136.6,137.4,135.53
1/16/2018,135.52,1807683,135.1,136.03,134.42
1/12/2018,134.73,2010111,133.05,134.99,132.03
1/11/2018,132.34,1046400,132.09,132.875,131.66
1/10/2018,132.11,1171661,132.5,133.02,131.82
1/9/2018,132.47,2081496,132.59,134.19,132.2
1/8/2018,131.45,1343316,132.16,132.4,131.1
1/5/2018,132.16,1144062,132.58,132.58,131.37
1/4/2018,132.4,1195505,133.18,133.751,132.36
1/3/2018,132.4,1308093,131.435,132.78,131.435
1/2/2018,131.98,2388812,136.3,136.3,131.46
12/29/2017,135.64,812345,136.02,136.49,135.28
12/28/2017,135.66,698740,135.25,135.7,134.79
12/27/2017,134.77,945416,134.93,135.14,134.29
12/26/2017,134.78,564742,134.9,135.6099,134.16
12/22/2017,134.39,879374,134.7,134.86,133.91
12/21/2017,134.44,933310,135.88,136.2,131.44
12/20/2017,135.26,1070159,136.45,136.45,134.8
12/19/2017,135.54,1365033,136.01,136.61,134.93
12/18/2017,135.21,1692799,135.6,137.29,134.69
12/15/2017,134.89,3170654,133.23,135.345,132.91
12/14/2017,132.58,1270318,134,134.17,131.851
12/13/2017,133.56,1328622,134.37,134.37,133.22
12/12/2017,134.35,1404929,132.82,134.6,132.765
12/11/2017,133.16,973394,133.92,133.99,132.54
12/8/2017,133.75,1085281,133.76,133.81,132.81
12/7/2017,134.21,1081234,134.8,135.135,133.95
12/6/2017,135.36,1044778,135.72,136.15,135.11
12/5/2017,135.32,1463870,137.16,137.25,135.12
12/4/2017,136.36,2187969,136.42,137.95,135.81
12/1/2017,136.21,2549590,136.26,136.44,134.1
11/30/2017,135.57,2140691,135.21,136.48,133.825
11/29/2017,134.53,1772302,133.78,135.03,133.06
11/28/2017,133.01,1821343,130.29,133.19,130
11/27/2017,130.48,1349460,129.78,130.89,129.66
11/24/2017,129.83,305358,130.03,130.26,129.6
11/22/2017,130.01,779693,130.47,130.77,129.72
11/21/2017,130.63,1105450,130.34,131.03,130.02
11/20/2017,129.77,1557616,129.94,130.221,128.79
11/17/2017,129.92,2372061,130.67,130.79,129.72
11/16/2017,130.81,2327260,133.38,133.56,130.657
11/15/2017,133.71,1836311,133.12,134.1996,132.75
11/14/2017,133.86,1812206,132.85,133.98,131.69
11/13/2017,133.32,2742667,135.16,135.44,133.2
11/10/2017,135.54,2107103,134.01,135.66,133.35
11/9/2017,134.53,1353116,133.12,135.08,132.44
11/8/2017,133.52,1564993,133.88,134.55,133.44
11/7/2017,133.72,1495235,133.98,134.74,133.41
11/6/2017,133.44,734987,133.55,133.78,132.82
11/3/2017,133.32,1088837,134.45,134.73,132.87
11/2/2017,134.69,2167884,133.93,135.71,132.96
11/1/2017,133.47,1749483,133.98,134.03,132.63
10/31/2017,132.45,1497741,132.48,132.95,132.215
10/30/2017,132.62,1579101,131.09,132.88,130.8
10/27/2017,131.06,1602413,131.55,131.68,130.05
10/26/2017,131.94,1490813,132.72,132.89,130.75
10/25/2017,131.78,1628943,133.38,133.44,131.75
10/24/2017,133.19,1706924,134.04,134.4,132.72
10/23/2017,134.45,1790192,133.73,134.47,132.88
10/20/2017,133.32,1838305,134,134.11,132.53
10/19/2017,133.17,2970858,129.78,133.17,128.24
10/18/2017,130.02,1991620,128.7,130.16,128.47
10/17/2017,128.65,1743272,128.44,128.86,127.5
10/16/2017,128.82,1765873,127.33,129.62,126.9
10/13/2017,126.67,1087096,126.16,127.17,125.79
10/12/2017,125.95,967453,126.02,126.5,125.46
10/11/2017,125.61,1059218,125.64,126.32,125.485
10/10/2017,125.94,967885,124.88,125.95,124.77
10/9/2017,124.95,723739,124.8,125.49,124.35
10/6/2017,125.07,1152158,124.58,125.36,124.235
10/5/2017,124.44,1135716,123.98,124.84,123.701
10/4/2017,123.9,836932,123.71,124.29,123.28
10/3/2017,123.7,1275582,123.31,123.73,122.39
10/2/2017,123.32,1458765,122.87,123.47,121.715
9/29/2017,122.52,1282759,122.62,123.2,121.9
9/28/2017,122.8,1097060,122.41,123.26,122.25
9/27/2017,122.59,1093263,123.46,123.46,122.49
9/26/2017,122.57,1297733,122.67,123.49,122.2401
9/25/2017,122.67,1136477,121.96,122.97,121.55
