date,close,volume,open,high,low
11/23/2018,261.62,1159250,260,262.94,258.28
11/21/2018,260.55,3234279,262.59,264.63,260.45
11/20/2018,261.5,3617425,265.62,266.78,260.4
11/19/2018,266.05,3667836,271.48,272.27,264.18
11/16/2018,271.11,3848026,264.99,271.8,264.92
11/15/2018,264.94,3656600,264,265.92,260.85
11/14/2018,264.96,3472759,269.29,270.52,263.35
11/13/2018,269.22,2516176,272.58,273.6018,268.14
11/12/2018,272.38,3136186,276,277.79,272
11/9/2018,276.55,2904260,276.86,278,274.19
11/8/2018,276.65,3798660,276,278,274.7
11/7/2018,274.63,5796031,266.9,276.75,266.9
11/6/2018,263.54,2547908,260.7,264.01,260.7
11/5/2018,261.01,3118060,262.15,263,260.07
11/2/2018,261.01,2578619,264.61,266.3752,259.56
11/1/2018,260.93,2764246,262.92,264.68,259.76
10/31/2018,261.35,4205635,260.87,264.0686,260.22
10/30/2018,258.28,4156281,256.69,259.69,253.98
10/29/2018,256.52,3676558,259.72,262.04,253.32
10/26/2018,258.18,4825475,261.5,262.4,257.02
10/25/2018,264.24,4616101,258.16,265.18,253.37
10/24/2018,256.32,5244324,264.01,265.33,255.93
10/23/2018,264.86,4081761,259.72,265.52,259.2
10/22/2018,262.19,2618115,266.75,266.83,260.06
10/19/2018,265.3,3257265,266.62,267.98,263.89
10/18/2018,266.81,3067991,267.35,267.88,263.71
10/17/2018,267.3,3853307,270.19,271,265.63
10/16/2018,272.57,6433732,269.69,272.81,265
10/15/2018,260.25,3569788,260.13,262.44,259.31
10/12/2018,259.61,3872325,259.7,261.39,256.86
10/11/2018,257.12,4526950,262,264.4016,255.78
10/10/2018,263.08,4266425,270.6,271.42,262.52
10/9/2018,270.11,2509849,269.19,271.955,268.47
10/8/2018,269.01,1863850,268.84,269.655,265.6531
10/5/2018,269.2,2045655,268.65,271,267.95
10/4/2018,268.32,2185769,271,271.62,267.3118
10/3/2018,270.9,3002184,272,272.07,269.77
10/2/2018,270.63,2730528,269,271.44,267.5
10/1/2018,269.1,3312852,267.25,270.02,267.02
9/28/2018,266.04,2648699,264.38,266.19,263.848
9/27/2018,264.65,2759329,263,265.41,262.93
9/26/2018,262.91,2195078,264.5,265.49,262.45
9/25/2018,263.51,3724067,267.3,267.33,263.03
9/24/2018,267.36,2625876,267.01,269.53,266.67
9/21/2018,266.67,5603372,266.1,267.84,265.8501
9/20/2018,266.39,2052195,266.08,267.94,266.06
9/19/2018,265.33,2257685,264.47,265.61,263.16
9/18/2018,263.29,3501084,262.93,264.0899,262.0048
9/17/2018,263.87,1929862,266.5,266.66,263.41
9/14/2018,265.31,2041446,265.4,266.65,263.28
9/13/2018,265.49,2718755,264.16,265.685,263.42
9/12/2018,262.67,2230327,261.12,264.49,260.85
9/11/2018,261.04,2283313,257.92,261.418,257.4828
9/10/2018,259.73,4145647,266.78,266.8,258.75
9/7/2018,268.28,2957997,269.64,271.16,267.51
9/6/2018,269.65,2556062,267.6,270.02,266.941
9/5/2018,267.64,2230582,268.56,268.795,266.93
9/4/2018,268.51,2097287,268,269.41,266.57
8/31/2018,268.46,2958192,268.28,269.2056,267.2
8/30/2018,268.39,2976341,269.46,270.17,268.11
8/29/2018,269,2880644,268.39,269.32,267.25
8/28/2018,268.51,2602740,268.54,269.14,267.33
8/27/2018,267.08,2613907,265,267.45,264.42
8/24/2018,264.28,2238647,261.75,264.78,261.75
8/23/2018,261.42,1603387,261.02,262.56,259.56
8/22/2018,260.74,2147691,261.95,261.95,260.25
8/21/2018,261.69,1558769,261.85,262.52,260.73
8/20/2018,262.4,1780866,263,263.49,261.57
8/17/2018,262.33,1923732,263.55,264.13,261.72
8/16/2018,263.1,2115862,261.57,263.75,261.45
8/15/2018,260.61,2015129,261.98,262.69,259.19
8/14/2018,263.48,1941605,260.89,264.295,260.85
8/13/2018,260.91,1635146,261,262.55,260.2975
8/10/2018,260.36,1624127,260.49,261.5,259.11
8/9/2018,261.59,2315025,259.91,263.02,259.31
8/8/2018,258.81,1494219,258.11,259.5,257.92
8/7/2018,257.65,1462757,257.64,258.8449,257.13
8/6/2018,256.76,1398135,256.5,257.54,255.465
8/3/2018,257.22,1422318,256.45,257.56,254.3
8/2/2018,256.08,1848803,253.5,256.3,252.23
8/1/2018,253.37,3006715,256.1,256.1,252.81
7/31/2018,253.22,2355885,254.14,255.2,252.85
7/30/2018,253.84,1649946,255.91,256.89,253.11
7/27/2018,255.95,1656765,257.79,257.79,255.39
7/26/2018,257,2021253,256.25,257.87,255.795
7/25/2018,254.86,3015970,254.81,255.27,252.765
7/24/2018,253.76,2473188,254.86,254.96,252.01
7/23/2018,252.74,1478046,252.91,255.23,252.43
7/20/2018,252.7,1959528,251.17,253.55,251.17
7/19/2018,252.93,2244134,255.32,256.5,251.85
7/18/2018,255.42,3296903,251.11,256.61,250.44
7/17/2018,250.29,6884094,251.55,252.52,246.2694
7/16/2018,256.98,3622024,258.29,258.45,256.435
7/13/2018,258.7,2356071,256.39,259.01,256.02
7/12/2018,256.05,1592695,256.18,256.82,254.92
7/11/2018,254.59,1446506,255.14,256,253.735
7/10/2018,255.54,2010329,254.18,256.9,253.75
7/9/2018,253.67,2031481,252.13,254.01,251.05
7/6/2018,250.76,1572264,251.01,251.73,249.4212
7/5/2018,250.5,2177654,249.11,250.9262,247.58
7/3/2018,246.98,1247991,248.3,248.75,246.74
7/2/2018,247.48,1793295,245,247.73,244.12
6/29/2018,245.34,2772586,244.9,247.4999,244.6
6/28/2018,244.9,3554343,247.13,248,242.23
6/27/2018,248.17,2480966,250.29,251.76,248.13
6/26/2018,249.77,2157265,250.56,252.47,249.54
6/25/2018,250.71,3060334,254.36,255.13,248.61
6/22/2018,254.37,2742468,252.24,255.11,251.19
6/21/2018,251.89,2072587,252.95,253.65,250.92
6/20/2018,252.81,2580382,253.315,253.73,251.88
6/19/2018,253.02,2370139,252.97,253.3,251.16
6/18/2018,254.87,1961605,254,255.01,252.135
6/15/2018,255.98,4724018,254.27,255.98,252.56
6/14/2018,255.33,2456544,254.47,255.99,253.66
6/13/2018,252.87,3008071,254.14,256.73,252.48
6/12/2018,253.58,2512309,253.2,253.94,250.17
6/11/2018,253.78,2773837,250.84,254.99,250.4
6/8/2018,250.68,3034507,249.46,251.5,248.07
6/7/2018,248.98,2116133,249.76,250,248.25
6/6/2018,248.65,2648695,246.32,248.72,245.13
6/5/2018,244.43,1531865,245.09,245.1146,241.91
6/4/2018,244.63,2188866,244,245.24,242.74
6/1/2018,243.35,2371107,243.74,243.74,241.29
5/31/2018,241.51,2965901,244.21,244.745,240.6767
5/30/2018,244.94,2059917,243.74,245.75,242.63
5/29/2018,242.17,2837741,243.86,243.86,240.24
5/25/2018,244.95,1554866,242.95,245.58,242.44
5/24/2018,242.73,2610126,244.57,245.44,242.2
5/23/2018,244.26,3047826,244.03,245.5,241.635
5/22/2018,245.18,2643110,248,248.05,243.84
5/21/2018,247.9,3040271,245,249.17,244.84
5/18/2018,244.64,2283816,243.37,244.76,242.39
5/17/2018,242.96,2375544,241.49,243.56,240.54
5/16/2018,241.72,1906025,239.65,241.81,238.57
5/15/2018,239.5,2395016,241.86,242.22,238.666
