date,close,volume,open,high,low
11/23/2018,129.04,9726113,124.99,130.28,124.79
11/21/2018,125.71,2728688,126.29,127.4483,125.68
11/20/2018,126,4386271,127.23,127.23,124.66
11/19/2018,127.85,4985423,130,130,127.37
11/16/2018,130.13,5060250,129,130.93,128.78
11/15/2018,129.73,4598068,127.21,130.6,126.65
11/14/2018,128.89,5288260,130.05,130.69,128.59
11/13/2018,129.12,3432846,128.84,130.72,128.23
11/12/2018,128.3,4196878,130.94,131.03,128.09
11/9/2018,130.71,5007103,131.39,131.42,129.69
11/8/2018,131.34,4747504,130.9,131.96,130.37
11/7/2018,130.55,5399230,128.99,130.91,128.04
11/6/2018,127.94,3254254,127.3,128.13,126.66
11/5/2018,127.25,5477034,127.48,127.87,126.45
11/2/2018,127.43,6111920,128.85,129.63,126.22
11/1/2018,127.58,5590025,125.7,127.94,125.07
10/31/2018,124.21,6148798,124.08,125.44,123.43
10/30/2018,122.62,4861842,121.07,122.8,120.4
10/29/2018,121.09,4944145,124.85,125.46,119.19
10/26/2018,123.23,4687497,122.98,125.05,121.58
10/25/2018,124.4,4719749,123.4,125.48,122.45
10/24/2018,122.07,8445590,130.23,131.29,121.75
10/23/2018,130.02,7030339,125.75,131.04,124.909
10/22/2018,126.4,5480982,128.68,128.99,125.7
10/19/2018,128.68,4574686,128.49,129.85,127.59
10/18/2018,128.94,3404734,129.6,130.77,128.09
10/17/2018,130.07,3728459,132.15,132.6285,129.54
10/16/2018,132.51,3509674,130.88,132.6,129.62
10/15/2018,130.33,3252269,129.84,131.52,129.17
10/12/2018,129.63,5104638,131.19,132.1,127.62
10/11/2018,129.37,8100748,130.87,132.54,128.51
10/10/2018,131.12,5734285,135.22,135.34,131.04
10/9/2018,135.88,4767981,139.27,139.95,135.69
10/8/2018,139.59,3167516,139.03,139.64,137.43
10/5/2018,139.06,2881107,140.39,140.85,138.61
10/4/2018,140.39,3404204,141.1,141.95,139.31
10/3/2018,141.02,3437159,141.97,142.09,140.8
10/2/2018,141.45,3692664,140.95,142.39,140.59
10/1/2018,140.92,3301143,141.15,141.51,140.255
9/28/2018,139.81,2476644,139.65,140.03,139.13
9/27/2018,139.68,1836275,140.01,140.67,138.69
9/26/2018,139.56,2357892,139.61,140.63,138.87
9/25/2018,139.71,3240097,140.19,140.74,139.4
9/24/2018,140.34,2524753,141.81,143,139.85
9/21/2018,142.08,7323295,143.68,144.15,141.79
9/20/2018,141.85,3875794,141.51,142.61,140.9
9/19/2018,140.5,3992744,139.16,140.87,139.15
9/18/2018,139.58,4312437,137.98,140.33,137.46
9/17/2018,137.76,4762224,137.82,138.8,137.44
9/14/2018,137.8,5465024,135.69,137.97,135.69
9/13/2018,135.52,2788459,134.28,135.55,133.98
9/12/2018,133.89,3492645,133.36,134.5,133.18
9/11/2018,133.61,2050034,133.64,134,132.16
9/10/2018,133.65,4197760,132.87,134.25,132.87
9/7/2018,132.01,3182447,133.13,133.27,130.95
9/6/2018,133.52,3604985,133.26,134.59,132.765
9/5/2018,132.78,2633773,131.5,132.9325,131.08
9/4/2018,131.9,2928465,131.95,131.95,130.53
8/31/2018,131.7,2755589,132.12,132.56,130.99
8/30/2018,132.59,2901684,133.31,133.5,132.21
8/29/2018,133.62,3797835,135.12,135.12,133.49
8/28/2018,134.5,2247851,136,136.34,134.31
8/27/2018,135.36,3033120,134.26,135.7,134.13
8/24/2018,133.36,2879607,132.61,133.46,132.61
8/23/2018,132.62,3526181,133.51,133.51,132.2
8/22/2018,133.24,3754101,135.06,135.09,133.22
8/21/2018,135.98,2230750,135.4,136.47,135.4
8/20/2018,135.14,5340532,134.96,135.43,134.47
8/17/2018,134.44,4262582,133.72,134.8,133.29
8/16/2018,133.31,4261406,132.39,133.59,132.39
8/15/2018,131.75,4564075,132,132.04,129.61
8/14/2018,132.42,3192848,132.69,133,131.98
8/13/2018,132.18,2527197,133.04,133.52,131.6
8/10/2018,133.1,2406951,133.54,133.75,132.29
8/9/2018,134.24,3207355,135.33,136.58,134.05
8/8/2018,134.71,1825461,134.51,134.93,134.1
8/7/2018,134.49,2197253,134.1,134.87,133.69
8/6/2018,133.94,1945832,133.68,134.12,132.86
8/3/2018,133.89,1946567,134.72,134.72,133.21
8/2/2018,134.12,2228321,133.98,134.68,133.365
8/1/2018,134.9,3765082,134.44,136.34,134.44
7/31/2018,135.74,5097804,134.07,135.94,134
7/30/2018,133.1,3657542,134.84,135.04,133
7/27/2018,134.53,3795959,136.5,136.5,134.34
7/26/2018,135.84,6136481,134.92,136.66,134.14
7/25/2018,134.75,5547542,133.56,134.98,132.5
7/24/2018,134.24,8116493,129.15,134.33,128.3
7/23/2018,129.37,3856064,129.89,130.125,128.87
7/20/2018,130.26,3215827,129.97,130.98,129.875
7/19/2018,130.36,2574070,131.34,131.55,130.27
7/18/2018,131.69,3756612,131.01,132.6449,130.92
7/17/2018,130.71,4708913,129.18,131,129.18
7/16/2018,128.98,4061749,129.54,130.3,128.78
7/13/2018,129.51,4643198,127.55,129.84,127.3
7/12/2018,127.35,4612772,125.96,127.49,125.02
7/11/2018,124.88,3647059,125.82,125.82,124.22
7/10/2018,127.06,3195080,126.84,128.17,126.555
7/9/2018,126.68,3397634,126.01,126.99,125.81
7/6/2018,125.4,2306735,124.85,125.85,124.11
7/5/2018,124.95,3429998,125.92,125.92,123.64
7/3/2018,124.92,2466001,125.87,126.97,124.76
7/2/2018,125.03,4220715,123.87,125.04,123.1
6/29/2018,125.03,3810934,124.86,126.44,124.82
6/28/2018,124.6,3282371,124.03,125.01,123.48
6/27/2018,124.36,5201641,126.39,127.37,124.34
6/26/2018,125.64,5580596,124.99,126.33,124.1717
6/25/2018,124.61,6310279,123.8,124.78,123.425
6/22/2018,124.87,3964562,124.52,125.135,124.11
6/21/2018,123.48,4599577,125.18,125.18,123.18
6/20/2018,125.36,3942647,125.49,125.71,124.665
6/19/2018,125.05,5816736,127.04,127.04,124.73
6/18/2018,127.49,3891600,126.55,127.59,126.08
6/15/2018,126.91,7458821,126.97,127.37,125.5
6/14/2018,126.94,3939562,127.34,127.735,126.29
6/13/2018,126.94,2806397,127.94,128.16,126.84
6/12/2018,127.85,2498225,128.62,128.76,127.35
6/11/2018,128.17,3854858,127.55,128.61,127.54
6/8/2018,127.61,2761747,126.93,127.69,126.755
6/7/2018,127.58,2508153,126.83,127.67,126.82
6/6/2018,126.82,2941589,126.57,126.82,125.85
6/5/2018,125.95,2171159,126.03,126.83,125.14
6/4/2018,126.29,3217151,126.4,127.23,126.01
6/1/2018,125.81,2679927,125.94,126.55,125.28
5/31/2018,124.82,3417386,125.78,125.92,124.23
5/30/2018,126.2,2782584,125.42,126.6499,125.26
5/29/2018,125.11,2776034,126.17,126.58,124.59
5/25/2018,127.03,1730143,127.45,127.68,126.53
5/24/2018,127.4,1835266,127.3,127.85,126.6
5/23/2018,127.58,4003302,126.84,127.73,126.09
5/22/2018,127.87,3962664,128.26,129.03,127.6398
5/21/2018,128.05,4690006,125.97,128.33,125.97
5/18/2018,125.19,2310050,124.59,125.41,124.17
5/17/2018,124.61,3329138,124.49,125.02,123.8
5/16/2018,124.78,3688892,125.03,125.08,124.11
5/15/2018,124.55,3383301,124.31,124.75,123.46
5/14/2018,124.98,4420398,124.39,125.64,124.29
5/11/2018,124.48,2717189,123.93,124.91,123.53
5/10/2018,124.1,2338407,123.46,124.29,123
5/9/2018,123.11,3551572,122.47,123.21,121.81
5/8/2018,121.79,3055825,121,121.83,120.68
5/7/2018,120.89,2892158,119.77,121.47,119.67
5/4/2018,119.51,6540057,117.43,120.15,116.66
5/3/2018,117.7,5070209,117.52,118.54,115.4
5/2/2018,118.5,3058160,118.96,119.8,118.18
5/1/2018,118.96,4146113,120,120.26,117.04
4/30/2018,120.15,4434302,122.53,122.785,120.15
4/27/2018,122.46,2901055,122.29,122.75,121.01
4/26/2018,122.82,3574695,121.5,124.24,120.82
4/25/2018,121.45,4720238,122.25,123,119.37
4/24/2018,122.1,8151216,126.5,127.31,120.8
4/23/2018,123.46,3266553,123.12,123.51,122.5
4/20/2018,123.08,5376767,124.87,124.87,122.5
4/19/2018,123.85,4820665,124.71,125.57,123.15
4/18/2018,124.8,4129247,125.42,125.436,124.17
4/17/2018,124.53,4203279,124.72,125.95,124.15
4/16/2018,123.81,3507015,123.9,124.03,122.84
4/13/2018,122.71,3469039,123.79,124,121.85
4/12/2018,123.25,3226069,123.04,123.86,122.79
4/11/2018,122.45,2620858,122.27,123.3,121.89
4/10/2018,122.96,4150967,124.04,124.32,122.33
4/9/2018,122.22,3555340,123.85,124.39,122.1
4/6/2018,122.76,4368988,124.58,125.74,122.21
4/5/2018,125.76,3993475,126.45,126.6,124.96
4/4/2018,125.77,7260824,121.12,125.89,120.66
4/3/2018,124.91,3804550,123.59,125.04,122.67
4/2/2018,123.48,6556765,125.65,126.01,121.21
3/29/2018,125.82,2837608,124.9,126.65,124.39
3/28/2018,124.45,3122009,125.92,126.0348,123.98
3/27/2018,125.28,9011405,126.86,128.18,124.36
3/26/2018,126.64,11529870,123.94,126.87,123.44
3/23/2018,122.31,3832201,124.19,125.13,122.14
3/22/2018,124.07,4969799,126.06,126.94,123.92
3/21/2018,127,3487937,127.13,128.5,126.36
3/20/2018,127.16,2814795,127.25,128.67,126.82
3/19/2018,127.2,3815717,128,128.94,126.13
3/16/2018,128.33,7239844,129.22,129.84,127.78
3/15/2018,129.25,3000980,130.16,130.57,127.87
3/14/2018,129.58,3243248,130.5,130.989,128.15
3/13/2018,130.15,3860113,132.48,132.51,129.52
3/12/2018,131.5,3634674,134.7,134.7,131.1
3/9/2018,134.07,4171922,131.81,134.19,131.51
3/8/2018,131.26,4052482,131.75,132.09,129.63
3/7/2018,130.93,2969128,129.86,131.27,129.71
3/6/2018,131.61,3038153,132.2,132.37,130.32
3/5/2018,131.71,4764280,129.32,132.4,128.02
3/2/2018,129.94,5831035,129.22,130.3,128.29
3/1/2018,130.3,6330422,135.2,135.7,129.78
