date,close,volume,open,high,low
11/23/2018,132.87,3676032,132.59,134.25,132.49
11/21/2018,134.42,7416053,134.36,135.78,133.63
11/20/2018,133.37,12717890,130.31,134.53,129.54
11/19/2018,134.76,16248790,140.47,140.57,134.25
11/16/2018,140.18,8626278,140.42,141.84,139.92
11/15/2018,141.84,8562305,138.85,141.91,137.93
11/14/2018,139.49,6599435,142.02,142.6,138.4128
11/13/2018,139.72,6283188,140.35,141.9,139.01
11/12/2018,139.72,11331360,143.42,143.64,139.17
11/9/2018,143.93,8338799,144.2,144.57,142.36
11/8/2018,145.23,5922896,144.6,145.46,143.652
11/7/2018,144.78,20497920,142.34,144.9,142.32
11/6/2018,140.79,4730789,139.8,140.91,139.72
11/5/2018,139.8,6279355,139.8,140.21,138.07
11/2/2018,139.78,17061370,141.11,141.4546,137.85
11/1/2018,140.83,16009070,139,140.87,137.49
10/31/2018,137.85,13203470,134.99,139.12,134.99
10/30/2018,132.76,15104240,133.08,134.86,129.79
10/29/2018,134.33,12719200,139.61,141.51,132.27
10/26/2018,137.74,12029220,137.98,139.87,136.06
10/25/2018,140.52,14966090,135.45,140.9,132.5
10/24/2018,134.26,13838260,139.7,140.18,134
10/23/2018,139.12,10732990,136.89,140.04,135.59
10/22/2018,140.64,6097787,140.97,141.54,139.51
10/19/2018,140.08,8662489,139.9,142.19,139.38
10/18/2018,139.29,10218910,142.46,142.46,137.95
10/17/2018,142.45,9167625,142.34,142.86,140.73
10/16/2018,141.74,11051690,138.71,142.14,138.68
10/15/2018,137.23,7880853,139.9,140.06,137.22
10/12/2018,140.06,12979990,138.48,140.98,137.43
10/11/2018,133.73,15646580,134.09,137.24,132.26
10/10/2018,135.52,15259430,142.57,142.6885,135.21
10/9/2018,142.31,10797580,141.46,143.29,141.12
10/8/2018,141.89,11595120,145.01,145.01,140.18
10/5/2018,145.36,7084617,146.64,147.41,144.4
10/4/2018,146.76,9207261,149.18,149.28,146.1
10/3/2018,149.37,7520309,150.71,150.71,149.19
10/2/2018,149.67,8047405,150.84,150.84,149.17
10/1/2018,150.79,9802023,150.89,151.56,150.61
9/28/2018,150.09,6032598,149.81,150.37,149.55
9/27/2018,150.02,5868529,149.9,150.64,149.562
9/26/2018,149.27,5851906,150,150.42,149.04
9/25/2018,149.58,4230659,149.71,149.96,149.1
9/24/2018,149.11,6704456,149.16,149.65,147.27
9/21/2018,150.05,15566770,149.95,150.26,149.35
9/20/2018,149.24,7163488,147.99,149.485,147.2
9/19/2018,147.42,7432144,148.28,148.82,147.251
9/18/2018,147.63,5691154,146.2,148.0897,145.95
9/17/2018,146.18,7703212,147.83,147.9,145.83
9/14/2018,147.84,4867485,147.91,148.37,147.35
9/13/2018,147.63,5774016,147.15,148.065,147.09
9/12/2018,146.57,6963538,145.85,146.8,145.0733
9/11/2018,145.49,9895741,143.46,145.52,143.25
9/10/2018,144.08,5362650,144.13,144.44,143.21
9/7/2018,143.2,13626110,143.99,144.44,142.75
9/6/2018,144.5,9585977,143.29,144.7,142.54
9/5/2018,142.67,11359530,147,147.82,142.55
9/4/2018,147.8,7637793,146.93,147.86,146.6669
8/31/2018,146.89,5785316,146.74,147.64,146.5
8/30/2018,146.74,7804345,146.82,147.71,146.36
8/29/2018,147.03,5191645,145.46,147.2999,145.42
8/28/2018,145.2,4925663,145.63,146.17,144.87
8/27/2018,145.4,7191123,144.99,145.6,144.71
8/24/2018,144.2,5712072,142.32,144.38,142.32
8/23/2018,142.1,4426763,141.01,142.445,140.77
8/22/2018,141.14,4191653,139.85,141.53,139.85
8/21/2018,140.04,6850694,141,141.4574,139.8
8/20/2018,140.94,4661902,141.54,141.6,140.7
8/17/2018,141.33,7697713,140.78,141.71,140.565
8/16/2018,140.65,5930010,141.07,141.49,140.42
8/15/2018,139.92,5288429,140.35,140.69,138.84
8/14/2018,140.76,5888686,140.3,140.99,139.88
8/13/2018,140.21,4817269,140.53,141.24,139.83
8/10/2018,139.73,6522054,139.88,140.7401,139.25
8/9/2018,140.01,5678473,140.73,141.24,139.9
8/8/2018,140.68,5389395,139.98,140.99,139.83
8/7/2018,140.28,10034380,139.98,140.69,139.8726
8/6/2018,139.71,5142966,139.65,140.26,139.05
8/3/2018,139.82,4617440,139.29,139.86,137.94
8/2/2018,138.92,12298920,137.45,139.19,137
8/1/2018,138.25,7086636,137.74,138.735,137.41
7/31/2018,136.74,7680285,137.13,138.02,135.63
7/30/2018,136.48,12806540,140.13,140.42,135.31
7/27/2018,140.71,7014714,143.08,143.14,139.21
7/26/2018,142.5,10519700,141.61,142.79,139.53
7/25/2018,142.64,8345334,140.34,142.77,139.9
7/24/2018,140.03,8332372,140.99,141.4725,139.51
7/23/2018,140.03,7713965,140.66,140.97,139.64
7/20/2018,140.99,7153581,140,141.47,139.92
7/19/2018,140.13,7934767,140.95,140.99,139.93
7/18/2018,140.9,6990943,139.91,141.17,139.37
7/17/2018,139.64,5410499,138.18,139.91,137.42
7/16/2018,138.46,4969758,139.42,139.55,138.16
7/13/2018,139.42,7865736,139.79,140.03,137.54
7/12/2018,139.9,11814920,139.01,139.95,138.66
7/11/2018,138.15,10640170,136.63,138.81,136.6
7/10/2018,136.69,6534014,135.57,137.33,135.34
7/9/2018,135.52,8956872,134.94,135.9689,134.79
7/6/2018,134.09,4839568,133.58,134.28,132.5
7/5/2018,133.29,4719579,132.13,133.33,131.83
7/3/2018,131.45,3621640,133.01,133.41,131.42
7/2/2018,132.5,7547017,131.96,133.05,131.15
6/29/2018,132.45,7252229,133.28,134.19,132.45
6/28/2018,132.74,6575822,131,133.12,130.6535
6/27/2018,131.02,7280909,133.01,133.657,131.01
6/26/2018,132.55,7731414,132.11,133.79,131.61
6/25/2018,130.93,10080970,134.91,134.91,129.53
6/22/2018,135.33,6171083,135.6,135.85,134.26
6/21/2018,134.53,8688679,135.27,136.115,134.26
6/20/2018,135.5,7191720,135.52,136.69,135.5
6/19/2018,135.11,6557430,134.56,135.235,133.57
6/18/2018,136.2,8711247,134.37,136.31,134.12
6/15/2018,135.1,10040740,135.1,135.73,134
6/14/2018,135,6460762,134.96,135.7,134.75
6/13/2018,134.4,4871835,135.18,135.77,134.31
6/12/2018,134.86,5743145,134.04,135.129,133.54
6/11/2018,133.91,7988297,134.9,135.19,133.81
6/8/2018,134.74,5260741,133.44,134.915,133.23
6/7/2018,133.84,8308287,136.36,136.58,133.05
6/6/2018,136.28,8065581,134,136.31,133.61
6/5/2018,133.56,6197663,133.38,133.62,132.7
