date,close,volume,open,high,low
11/23/2018,58.64,7009050,58.86,59,58.29
11/21/2018,59.16,18481820,59.26,59.9,58.88
11/20/2018,59.46,22027630,61.03,61.58,59.17
11/19/2018,60.62,18395860,60.25,61.32,60.18
11/16/2018,60.21,19026150,59.06,60.39,58.91
11/15/2018,59.08,17131060,58.85,59.09,58.45
11/14/2018,58.94,18048360,59.13,59.32,58.41
11/13/2018,58.66,12884670,59.09,59.14,58.32
11/12/2018,58.72,13234930,58.835,59.4,58.54
11/9/2018,58.46,17365450,58.32,59.2,57.935
11/8/2018,58.27,12470160,57.695,58.44,57.66
11/7/2018,57.65,13889410,57.55,57.78,57.035
11/6/2018,57.21,12238960,57.02,57.35,56.65
11/5/2018,57.21,12338260,56.51,57.445,56.51
11/2/2018,56.63,14297990,56.34,57.08,55.92
11/1/2018,56.05,22164900,56.98,57.28,55.55
10/31/2018,57.09,24192310,58.32,58.32,56.76
10/30/2018,58.18,24916370,56.92,58.8,56.92
10/29/2018,56.48,22040910,55.81,57.15,55.72
10/26/2018,55.51,24964490,56.26,56.62,55.19
10/25/2018,56.43,24999450,57.46,57.63,56.17
10/24/2018,57.42,37388770,57,58.44,56.415
10/23/2018,57.21,29262170,56.09,57.47,56.09
10/22/2018,54.98,21611320,55.08,55.27,54.61
10/19/2018,54.9,18015440,54.62,55.5,54.52
10/18/2018,54.65,15457330,53.86,54.68,53.78
10/17/2018,53.96,13532130,53.75,54.375,53.525
10/16/2018,53.7,15391350,53.46,53.8,53.26
10/15/2018,53.6,12868320,53.88,54.25,53.6
10/12/2018,53.73,18721840,53.82,53.89,52.82
10/11/2018,53.33,26251080,54.51,55.16,52.84
10/10/2018,54.33,22017390,54.99,55.9,54.29
10/9/2018,54.99,16960450,54.48,55.14,54.03
10/8/2018,55.02,16689240,55,55.2099,54.45
10/5/2018,54.94,14041750,55.06,55.435,54.78
10/4/2018,55.02,15783750,54.345,55.03,53.96
10/3/2018,54.29,14930260,54.74,54.9375,54.135
10/2/2018,54.42,11609350,53.8,54.435,53.6
10/1/2018,53.84,10481920,53.61,53.915,53.5
9/28/2018,53.39,12635110,53.47,53.56,53.27
9/27/2018,53.59,12864420,53.15,53.87,53.15
9/26/2018,53.14,13260740,53.29,53.58,53.08
9/25/2018,53.05,13275340,53.5,53.66,52.92
9/24/2018,53.54,13844740,54.31,54.494,53.525
9/21/2018,54.42,48313490,54.23,54.805,54.12
9/20/2018,53.95,14462170,53.6,54.15,53.317
9/19/2018,53.5,17455390,54.62,54.7,53.37
9/18/2018,54.39,13795200,54.39,54.81,54.29
9/17/2018,54.7,10999430,54.79,55.0199,54.43
9/14/2018,54.55,13271240,54.91,54.99,54.18
9/13/2018,54.94,12087220,55.08,55.08,54.27
9/12/2018,54.97,13090800,54.75,55.42,54.56
9/11/2018,54.72,12204700,54.29,54.96,54.11
9/10/2018,54.12,10531600,54.32,54.68,53.99
9/7/2018,54,11728330,54.13,54.39,53.88
9/6/2018,54.29,10479640,53.94,54.47,53.7
9/5/2018,53.82,15218120,53.02,53.97,52.9
9/4/2018,53.19,19627510,53.55,53.72,52.84
8/31/2018,54.37,14166530,54.51,54.66,54.04
8/30/2018,54.75,9360236,54.4,54.8,54.24
8/29/2018,54.57,9800378,54.78,54.96,54.5
8/28/2018,54.65,11864590,54.82,54.9,54.46
8/27/2018,54.85,9422734,54.98,55.06,54.651
