date,close,volume,open,high,low
11/23/2018,95.1,4889960,94.13,95.55,94.13
11/21/2018,94.17,9349685,94.36,94.92,93.31
11/20/2018,94.16,12594790,94.98,95.2,93.6
11/19/2018,96.78,8781087,97.94,98.25,96.43
11/16/2018,97.69,14117560,98.82,99.42,96.92
11/15/2018,99.54,16013980,102.32,102.8,98.62
11/14/2018,101.53,10390760,103,103.15,101.01
11/13/2018,102.94,7812730,103.67,104.15,102.54
11/12/2018,103.87,8864601,105.5,106.21,103.65
11/9/2018,105.56,8246105,105,105.9,104.81
11/8/2018,104.88,5895172,104.33,105.26,104.03
11/7/2018,104.32,8252696,103.66,104.47,103.05
11/6/2018,103.33,6291554,102.54,103.44,102.05
11/5/2018,102.91,7563915,101.19,103.1692,100.6324
11/2/2018,101.34,7274211,100.88,101.57,100.31
11/1/2018,100.58,7643551,99.96,101.17,99.72
10/31/2018,100.28,12278750,102.49,102.49,100.115
10/30/2018,102.42,12636730,100.21,102.6,100.056
10/29/2018,99.8,12026060,99.51,101.73,99.09
10/26/2018,98.94,14919140,98.81,99.67,98.02
10/25/2018,99.18,10731330,98.01,99.48,97
10/24/2018,97.56,10280430,97.5,99.17,97.275
10/23/2018,97.8,9361610,96.5,97.985,96.11
10/22/2018,97.14,7020388,97.34,97.58,96.7434
10/19/2018,97.15,8814129,96,97.65,96
10/18/2018,96.17,10297120,96.4,97.245,95.74
10/17/2018,96.56,8754047,95.18,96.62,94.9
10/16/2018,95.81,10528950,94.7,96.07,94.34
10/15/2018,93.82,7918205,94.5,94.988,93.82
10/12/2018,94.81,8487575,94.76,95.17,93.67
10/11/2018,93.92,9917717,95.81,96.29,93.6
10/10/2018,95.76,8994703,96.6,97.85,95.7
10/9/2018,97.08,11598080,95.64,97.74,95.19
10/8/2018,94.69,5762057,93.25,94.93,93.0201
10/5/2018,93.31,6684456,93.86,94.19,92.89
10/4/2018,94.21,6043824,94.07,94.5,93.2
10/3/2018,94.07,6313339,95.5,95.54,94.04
10/2/2018,95.15,7753301,93.93,95.61,93.85
10/1/2018,94.4,4994276,94.29,94.66,94.04
9/28/2018,93.91,6305331,94.28,94.37,93.69
9/27/2018,94.13,5363387,94.19,94.96,93.82
9/26/2018,94.59,5907719,95.1,95.585,94.52
9/25/2018,95.1,6147879,95.99,96.52,94.99
9/24/2018,94.92,5103093,95.44,96,94.86
9/21/2018,95.9,9414925,95.92,96.29,95.63
9/20/2018,95.75,5256100,95.35,95.79,94.95
9/19/2018,95.24,5573294,95.57,95.8925,94.88
9/18/2018,95.43,6296139,94.46,95.59,94.15
9/17/2018,94.82,5146077,94.75,95.48,94.3733
9/14/2018,94.59,6274451,94.53,94.84,94.35
