date,close,volume,open,high,low
11/23/2018,75.49,10875430,76.05,76.2,74.7
11/21/2018,77.56,9685306,77.43,78.38,77.26
11/20/2018,76.97,15532900,78.42,78.9,76.37
11/19/2018,79.22,9393970,78.46,79.36,78.43
11/16/2018,78.96,13578150,78.37,79.19,78.1
11/15/2018,78.19,18962360,76.67,78.19,75.91
11/14/2018,77.39,18539750,78.86,79.09,76.75
11/13/2018,78,15527230,79.8,79.85,77.64
11/12/2018,79.83,11905910,81.66,81.73,79.73
11/9/2018,80.87,15069970,80.26,81.4,79.695
11/8/2018,81.71,16862350,83.13,83.745,81.535
11/7/2018,83.03,12697080,82.21,83.14,81.6599
11/6/2018,81.99,9062988,81.74,82.1,81.35
11/5/2018,81.64,15810460,82.5,82.87,81.44
11/2/2018,81.95,18839910,81.76,82.45,80.23
11/1/2018,80.67,14152450,79.83,80.75,79.3
10/31/2018,79.68,16612620,79.34,80.3501,78.9
10/30/2018,78.78,17757510,77.62,79.03,77.42
10/29/2018,77.05,15646190,78.07,78.43,76.22
10/26/2018,77.53,18154980,77.87,78.41,76.96
10/25/2018,78.31,12278120,78.49,79.05,77.74
10/24/2018,77.62,16008000,80.13,80.26,77.55
10/23/2018,79.84,15334880,80.06,80.46,78.715
10/22/2018,81.15,8757475,82,82.18,80.64
10/19/2018,81.97,11656120,81.66,82.4636,81.51
10/18/2018,81.85,16453060,81.2,82.47,81.2
10/17/2018,81.5,10839140,80.94,81.52,80.34
10/16/2018,81.2,9284658,80.51,81.265,80.01
10/15/2018,80.82,10437340,81.38,81.735,80.82
10/12/2018,81.38,14884770,82.13,82.24,80.27
10/11/2018,81.6,20046170,83.94,84.17,81.17
10/10/2018,84.52,16393330,86.73,86.82,84.5
10/9/2018,86.51,10176580,86.38,86.88,85.74
10/8/2018,86.13,12997180,84.79,86.305,84.65
10/5/2018,85.34,9216380,85.31,85.7,84.9324
10/4/2018,85.58,9673638,85.5,86.0753,85.25
10/3/2018,86.15,9414971,86.51,86.89,85.975
10/2/2018,86.46,7930951,85.8,86.665,85.622
10/1/2018,85.81,8521724,85.35,86.03,85.255
9/28/2018,85.02,9712044,85.25,85.9299,84.99
9/27/2018,85.77,7658406,86.085,86.375,85.59
9/26/2018,85.78,9906464,86.02,86.5,85.69
9/25/2018,86.5,11652630,87.031,87.36,86.37
9/24/2018,86.6,13294210,85.79,87.085,85.72
9/21/2018,85.17,26596940,85.01,85.43,84.52
9/20/2018,84.82,11100160,84.86,85.34,84.54
9/19/2018,84.63,10064480,83.64,84.77,83.64
9/18/2018,83.63,8836241,83.9,84.13,83.45
9/17/2018,83.41,7934194,83,83.61,82.99
9/14/2018,82.92,8666234,82.42,83.15,82.27
9/13/2018,82.32,10914350,83.15,83.25,82.01
9/12/2018,83.13,11535540,83.25,83.78,82.87
9/11/2018,82.86,11780470,81.96,83.19,81.63
9/10/2018,81.71,10433310,82.236,82.74,81.655
9/7/2018,81.83,16312830,80.15,81.93,79.82
9/6/2018,80.46,13318610,81.11,81.64,80.34
9/5/2018,81.36,13836850,79.9,81.43,79.6
9/4/2018,80.29,8849342,80.41,80.69,79.81
8/31/2018,80.17,10697460,80.24,80.46,79.77
8/30/2018,80.51,7404709,80.45,80.78,80.12
8/29/2018,80.86,8001797,80.44,81.04,80.095
8/28/2018,80.28,8794788,80.58,80.82,80.2
8/27/2018,80.4,6520449,79.91,80.47,79.8592
8/24/2018,79.62,6486583,79.52,80.05,79.42
8/23/2018,79.08,7075035,79.56,79.63,78.895
8/22/2018,79.96,10091250,79.11,80.05,79.02
8/21/2018,78.83,9152703,79.05,79.58,78.67
8/20/2018,78.81,7965675,78.26,79,78.17
8/17/2018,78.26,10178110,78.34,78.49,77.8
8/16/2018,78,11517980,77.28,78.1,77.2
8/15/2018,76.94,16251010,77.78,77.9,76.51
8/14/2018,78.31,8001384,78.99,79.07,78.08
8/13/2018,78.56,10308380,79.45,79.75,78.43
8/10/2018,79.42,12947070,79.51,79.524,78.855
8/9/2018,80.32,9821036,80.73,80.905,80.11
8/8/2018,80.73,7272779,81.02,81.23,80.35
8/7/2018,81.27,10698050,80.91,81.59,80.31
8/6/2018,80.18,10040340,80.25,80.43,79.74
8/3/2018,80.2,7810712,79.97,80.3,79.63
8/2/2018,79.91,8362829,79.89,80.255,79.45
8/1/2018,80.39,8934672,80.89,80.93,80.225
7/31/2018,81.51,11714320,81.64,82.15,81.44
7/30/2018,81.74,11282700,82.13,82.13,80.711
7/27/2018,81.92,18220840,80.97,82.38,80.805
7/26/2018,84.24,13110490,83.83,84.4,83.37
7/25/2018,83.59,9523152,83.01,83.74,82.51
7/24/2018,83.01,11101980,81.52,83.02,81.48
7/23/2018,81.4,8415963,81.95,82,81.18
7/20/2018,81.4,9196180,81.72,81.9332,81.25
7/19/2018,82.01,8658492,82.2,82.62,81.72
7/18/2018,82.22,8611463,81.8,82.32,81.49
7/17/2018,82.31,7368826,82.26,82.75,82.04
7/16/2018,82.49,8304868,82.52,82.79,82
7/13/2018,83.31,8719620,82.68,83.75,82.56
7/12/2018,82.69,9614606,83.01,83.24,82.31
7/11/2018,82.59,10142860,83.03,83.53,82.025
7/10/2018,83.66,8781847,83.7,84.12,83.51
7/9/2018,82.9,7149751,82.81,83.125,82.555
7/6/2018,82.33,7536100,81.96,82.7,81.66
7/5/2018,82.31,9031212,82.59,82.77,82.05
7/3/2018,82.24,7197258,82.58,83.45,82.08
7/2/2018,81.76,9909187,81.89,82.13,81.32
6/29/2018,82.73,17302760,82.45,83.54,82.29
6/28/2018,81.97,9387558,81.73,82.07,81.03
6/27/2018,81.71,12588940,81.06,82.48,81.06
6/26/2018,80.64,10366270,80.15,81.0146,79.97
6/25/2018,79.74,10535430,80.78,81.24,79.3
6/22/2018,81.38,16698180,81.16,81.9401,80.92
6/21/2018,79.69,10913280,80.02,80.38,79.325
6/20/2018,80.45,8915644,80.85,81.13,80.27
6/19/2018,80.7,8748230,79.89,80.9601,79.71
6/18/2018,80.82,8935843,80.4,81.38,80.3
6/15/2018,80.66,23785770,81.72,81.82,80.51
6/14/2018,81.89,11165640,81.94,82.2999,81.5
6/13/2018,81.51,11590130,82.44,82.6,81.47
6/12/2018,82.42,12232900,83.11,83.75,82.32
6/11/2018,83.1,10811770,83.72,83.79,82.93
6/8/2018,83.6,14347010,83.11,83.66,82.5
6/7/2018,82.88,13396330,82.73,83.29,82.56
6/6/2018,82.06,11558170,81.48,82.09,80.87
6/5/2018,80.68,12052840,80.59,81.65,80.41
6/4/2018,80.97,10827760,82.05,82.53,80.805
6/1/2018,81.83,9900070,81.87,82.35,81.55
5/31/2018,81.24,15762770,80.81,81.55,80.69
5/30/2018,81.5,16601090,79.25,81.66,79.22
5/29/2018,78.42,14636290,78.15,78.73,77.53
5/25/2018,78.71,14559770,79.28,79.33,78.09
5/24/2018,80.27,13180230,81.35,81.36,79.95
5/23/2018,82.15,15139330,80.95,82.23,80.57
5/22/2018,81.64,10752670,82.44,82.65,81.35
